state,age,gender,exercise_regime,purchase_history,mode_of_travel,music_choice
DC,46-52,Male,Keep fit through jogging or gym.,"Gardening supplies, Presents for my kids, Theater tickets",Car,Classical music
DC,25-31,Female,Netflix is my most strenuous exercise.,"Yoga mat, Theater tickets",Car,Classical music
DC,32-38,Female,Keep fit through jogging or gym.,Theater tickets,Train,Classical music
DC,32-38,Female,Keep fit through jogging or gym.,Yoga mat,Car,Classical music
DC,39-45,Male,Keep fit through jogging or gym.,"Gardening supplies, Bluetooth speaker, Yoga mat, Presents for my kids",Walk or bike,Classical music
DC,52-56,Male,I play team sports / run races.,"Gardening supplies, Bluetooth speaker, Presents for my kids",Car,Classical music
DC,25-31,Female,Netflix is my most strenuous exercise.,Bluetooth speaker,Car,Classical music
DC,39-45,Female,Keep fit through jogging or gym.,"Bluetooth speaker, Theater tickets",Walk or bike,Classical music
DC,32-38,Female,Netflix is my most strenuous exercise.,"Dog food / cat food, Theater tickets",Walk or bike,Heavy metal / rock
DC,25-31,Male,Keep fit through jogging or gym.,Theater tickets,Train,Heavy metal / rock
DC,32-38,Female,Keep fit through jogging or gym.,Gardening supplies,Walk or bike,Classical music
DC,32-38,Male,Keep fit through jogging or gym.,"Gardening supplies, Bluetooth speaker, Yoga mat, Theater tickets",Walk or bike,Heavy metal / rock
DC,32-38,Female,Keep fit through jogging or gym.,"Yoga mat, Theater tickets",Walk or bike,Classical music
DC,46-52,Male,Keep fit through jogging or gym.,"Bluetooth speaker, Yoga mat, Theater tickets",Walk or bike,Heavy metal / rock
