ds,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users
2020-03-01,Goa,-0.07569075557413195,0.12543204750934134
2020-03-01,Andaman and Nicobar,-0.1840492563505413,0.21712198630850635
2020-03-01,Uttar Pradesh,-0.06609088544892769,0.13967785889769144
2020-03-01,Mizoram,0.017649832657434764,0.1754948908207536
2020-03-01,NCT of Delhi,-0.1351089578003392,0.18712787042810988
2020-03-01,West Bengal,-0.0611894954968865,0.15601197606127748
2020-03-01,Manipur,-0.07993589642252112,0.16344632425883346
2020-03-01,Punjab,-0.07254818143254957,0.1389109792795386
2020-03-01,Chhattisgarh,-0.0692548053772598,0.11741627445336432
2020-03-01,Uttarakhand,-0.056165738952159205,0.13586463908557522
2020-03-01,Jammu and Kashmir,-0.11968262305310595,0.19817639098156986
2020-03-01,Madhya Pradesh,-0.06562765614646175,0.11453872447653092
2020-03-01,Rajasthan,-0.059220234821995864,0.1167312661552306
2020-03-01,Tripura,-0.07797389191199809,0.1359264525272909
2020-03-01,Bihar,-0.0209791283427719,0.13587927351943194
2020-03-01,Tamil Nadu,-0.06388898423476931,0.11793087500932058
2020-03-01,Jharkhand,-0.007723667005882061,0.12142622765390765
2020-03-01,Sikkim,-0.10725260764987034,0.18982171731437408
2020-03-01,Lakshadweep,-0.09235156958302806,0.11277041724327395
2020-03-01,Telangana,-0.0761953801922705,0.11880262691725145
2020-03-01,Haryana,-0.10113246738888708,0.13185946165692514
2020-03-01,Assam,-0.07608715683390073,0.13004710594802055
2020-03-01,Maharashtra,-0.10113163524266244,0.12194530874450438
2020-03-01,Puducherry,-0.07970918985446891,0.09872838339244014
2020-03-01,Dadra and Nagar Haveli,-0.09185610158583324,0.1222953821991418
2020-03-01,Meghalaya,-0.2432478978428027,0.2436971701976296
2020-03-01,Gujarat,-0.10420069253847818,0.10670963238456596
2020-03-01,Kerala,-0.1033533177652591,0.13147814762206758
2020-03-01,Himachal Pradesh,-0.0674829496009934,0.14956636450911145
2020-03-01,Odisha,-0.0021796747118126643,0.11653585261075113
2020-03-01,Nagaland,-0.0648863393173663,0.17803781302485472
2020-03-01,Arunachal Pradesh,-0.09174042280103356,0.15063327202680646
2020-03-01,Daman and Diu,-0.023949589977955304,0.10874016395898826
2020-03-01,Andhra Pradesh,-0.02587221583386089,0.1058691047766028
2020-03-01,Chandigarh,-0.060238836911917004,0.14787807185855642
2020-03-01,Karnataka,-0.09775613664168732,0.12097087572397094
2020-03-02,Goa,-0.03710912012763217,0.09571325939882606
2020-03-02,Andaman and Nicobar,-0.07604296701902348,0.13682349208967998
2020-03-02,Uttar Pradesh,0.004619338396139507,0.10478199592415344
2020-03-02,Mizoram,0.12103823792283865,0.11478596210204615
2020-03-02,West Bengal,0.002284900083618417,0.12123995020423885
2020-03-02,NCT of Delhi,-0.10150585410531038,0.13872931732852534
2020-03-02,Manipur,0.015850627613260185,0.1260452804552346
2020-03-02,Punjab,-0.005991997109294276,0.10531416774471362
2020-03-02,Chhattisgarh,-0.015201235544886038,0.09373238682772347
2020-03-02,Uttarakhand,-0.010750888337563628,0.10242917118839284
2020-03-02,Jammu and Kashmir,-0.027928845809112236,0.1413985933361571
2020-03-02,Madhya Pradesh,-0.010260281785520057,0.08916691595508305
2020-03-02,Tripura,-0.01440374576872255,0.10449994054624742
2020-03-02,Rajasthan,-0.016075883232142794,0.09374711610259544
2020-03-02,Jharkhand,0.03525289314474146,0.09816132059445412
2020-03-02,Bihar,0.03458174498476039,0.10620017011082504
2020-03-02,Sikkim,-0.032238285302545085,0.15519230896231667
2020-03-02,Tamil Nadu,-0.009422654957774926,0.0897294737356702
2020-03-02,Lakshadweep,-0.051720804247050584,0.09132625452904676
2020-03-02,Telangana,-0.023989477960596084,0.09067843486370376
2020-03-02,Haryana,-0.028634581464908607,0.09334559289418633
2020-03-02,Assam,0.0067923359636327995,0.10035252050042416
2020-03-02,Maharashtra,-0.026792297184667902,0.08798535608955797
2020-03-02,Puducherry,-0.030917432907014968,0.07736618112586692
2020-03-02,Dadra and Nagar Haveli,-0.08110802290799367,0.10920841565460647
2020-03-02,Meghalaya,-0.14543080878359835,0.15331198307846336
2020-03-02,Kerala,-0.033438044232136664,0.09854660914558687
2020-03-02,Gujarat,-0.03498288670051975,0.08592811217042698
2020-03-02,Odisha,0.030205583265320118,0.0956362628079937
2020-03-02,Himachal Pradesh,-0.015106137799513503,0.108941160894853
2020-03-02,Nagaland,-0.01034242702413132,0.1257294624117469
2020-03-02,Arunachal Pradesh,-0.04949194232425728,0.11825275480336905
2020-03-02,Daman and Diu,-0.023143175781347815,0.09313455399703208
2020-03-02,Chandigarh,-0.0437437470886826,0.10110997929488183
2020-03-02,Andhra Pradesh,0.0006363397570433107,0.08593904583096604
2020-03-02,Karnataka,-0.02070164959982895,0.08865827185546428
2020-03-03,Goa,-0.04211948252079262,0.10059914764192414
2020-03-03,Andaman and Nicobar,-0.08333341699188815,0.1470214478060535
2020-03-03,Uttar Pradesh,0.01922555160073693,0.10846742645952763
2020-03-03,Mizoram,0.011590204206164929,0.12061339283595793
2020-03-03,NCT of Delhi,-0.040454757999228534,0.1354862134117502
2020-03-03,Manipur,-0.01254087032470714,0.1336215849501125
2020-03-03,West Bengal,-0.0013972695703531454,0.13027967689498274
2020-03-03,Punjab,-0.003176864266822372,0.1089347440487302
2020-03-03,Chhattisgarh,-0.022016796964137032,0.10080614931856707
2020-03-03,Jammu and Kashmir,-0.034811411867194664,0.1464361869634282
