Difference,"Baseline: People Moving","Crisis: People Moving","Percent Change","Standard (Z) Score","Starting Region Name","Ending Region Name","Starting Location","Ending Location",Length(km),Geometry
-1,11,10,-8.3333333333333,-0.70710678118655,Chikodi,Chikodi,1103786,1103786,2.3437919182778,"LINESTRING (74.36645507640254 16.393930789777983, 74.36645508721395 16.415008983812235)"
-4.75,17.75,13,-25.333333333333,-1.0555555555556,Chikodi,Chikodi,1103786,1103786,2.3439185905548,"LINESTRING (74.36645507640254 16.393930789777983, 74.38842773265294 16.39393078977543)"
-1.5,17.5,16,-8.1081081081081,-0.43915503282684,Hatkanangle,Hatkanangle,1103094,1103094,2.3413697234289,"LINESTRING (74.3664550846991 16.60460960781876, 74.344482404084 16.60460960237917)"
8.5,10.5,19,73.913043478261,2.1032045520479,Hatkanangle,Hatkanangle,1103094,1103094,2.3398237068084,"LINESTRING (74.36645508511477 16.730906300920786, 74.34448241668034 16.73090629818191)"
1.25,10.75,12,10.63829787234,0.35714285714286,Chikodi,Chikodi,1103786,1103786,2.3436634469733,"LINESTRING (74.36645508721395 16.415008983812235, 74.38842773129022 16.41500898113066)"
-0.5,11.5,11,-4,-0.16081688022567,Chikodi,Chikodi,1103786,1103786,3.3146213422496,"LINESTRING (74.36645508721395 16.415008983812235, 74.38842773265294 16.39393078977543)"
-9.25,23.25,14,-38.144329896907,-2.9880195564228,Walwa,Walwa,1103105,1103105,2.3361766418253,"LINESTRING (74.36645509133395 17.02527239351139, 74.38842773536584 17.025272390720737)"
-3.75,18.75,15,-18.987341772152,-0.80718300375095,Chikodi,Chikodi,1103786,1103786,2.3437916203833,"LINESTRING (74.38842773129022 16.41500898113066, 74.38842773265294 16.39393078977543)"
-6.5,17.5,11,-35.135135135135,-2.7305461638546,Hatkanangle,Hatkanangle,1103094,1103094,3.3088249798346,"LINESTRING (74.38842773218961 16.751947631982567, 74.36645508511477 16.730906300920786)"
-4.75,16.75,12,-26.760563380282,-0.91555190683961,Hatkanangle,Hatkanangle,1103094,1103094,2.3396932414424,"LINESTRING (74.38842773218961 16.751947631982567, 74.38842772916385 16.730906298176787)"
9.75,41.25,51,23.076923076923,1.3156868420959,Chikodi,Chikodi,1103786,1103786,2.3439185905548,"LINESTRING (74.38842773265294 16.39393078977543, 74.36645507640254 16.393930789777983)"
6,61,67,9.6774193548387,0.97332852678458,Chikodi,Chikodi,1103786,1103786,3.3146213422496,"LINESTRING (74.38842773265294 16.39393078977543, 74.36645508721395 16.415008983812235)"
