Difference,"Baseline: People Moving","Crisis: People Moving","Percent Change","Standard (Z) Score","Starting Region Name","Ending Region Name","Starting Location","Ending Location",Length(km),Geometry
-2.6,12.6,10,-19.117647058824,-1.5537971921347,Chikodi,Chikodi,1103786,1103786,3.3146213422496,"LINESTRING (74.36645508721395 16.415008983812235, 74.38842773265294 16.39393078977543)"
-2,20,18,-9.5238095238095,-0.78446454055274,Walwa,Walwa,1103105,1103105,2.3361766418253,"LINESTRING (74.36645509133395 17.02527239351139, 74.38842773536584 17.025272390720737)"
0.4,18.6,19,2.0408163265306,0.14322297480789,Chikodi,Chikodi,1103786,1103786,2.3437916203833,"LINESTRING (74.38842773129022 16.41500898113066, 74.38842773265294 16.39393078977543)"
-3.2,15.2,12,-19.753086419753,-1.9474579822406,Hatkanangle,Hatkanangle,1103094,1103094,2.3396932414424,"LINESTRING (74.38842773218961 16.751947631982567, 74.38842772916385 16.730906298176787)"
3.4,45.6,49,7.2961373390558,0.46140150019593,Chikodi,Chikodi,1103786,1103786,2.3439185905548,"LINESTRING (74.38842773265294 16.39393078977543, 74.36645507640254 16.393930789777983)"
-12.2,59.2,47,-20.265780730897,-1.3027468567846,Chikodi,Chikodi,1103786,1103786,3.3146213422496,"LINESTRING (74.38842773265294 16.39393078977543, 74.36645508721395 16.415008983812235)"
-1.2,36.2,35,-3.2258064516129,-0.24913643956122,Chikodi,Chikodi,1103786,1103786,2.3437916203833,"LINESTRING (74.38842773265294 16.39393078977543, 74.38842773129022 16.41500898113066)"
-1.6,28.6,27,-5.4054054054054,-0.36901248321155,Chikodi,Chikodi,1103786,1103786,2.3440452781794,"LINESTRING (74.38842773265294 16.39393078977543, 74.38842773575045 16.372850317224415)"
-6.8,16.8,10,-38.202247191011,-1.100214162874,Hatkanangle,Hatkanangle,1103094,1103094,2.3412385734193,"LINESTRING (74.38842773398454 16.62566483910707, 74.38842774093071 16.60460960781876)"
-6.8,24.8,18,-26.356589147287,-1.3682341821954,Hatkanangle,Hatkanangle,1103094,1103094,2.3411103943116,"LINESTRING (74.38842773398454 16.62566483910707, 74.41040039024301 16.62566483910707)"
-4,15,11,-25,-1.7056057308449,Walwa,Walwa,1103105,1103105,3.3051500546553,"LINESTRING (74.41040038429882 16.941214665158228, 74.38842773444688 16.962232627231522)"
-1.6,29.6,28,-5.2287581699346,-0.49854156227981,Walwa,Walwa,1103105,1103105,2.3370944199263,"LINESTRING (74.41040038429882 16.941214665158228, 74.41040039069352 16.96223262723729)"
0.4,15.6,16,2.4096385542169,0.083770781658339,Walwa,Walwa,1103105,1103105,2.337226230796,"LINESTRING (74.41040038429882 16.941214665158228, 74.43237305276195 16.94121466794215)"
-1.6,11.6,10,-12.698412698413,-0.77158851547266,Hatkanangle,Hatkanangle,1103094,1103094,2.3395652484121,"LINESTRING (74.41040038844578 16.751947631981288, 74.43237305688484 16.75194763472697)"
-1.6,23.6,22,-6.5040650406504,-0.82078268166812,Hatkanangle,Hatkanangle,1103094,1103094,2.3411103943116,"LINESTRING (74.41040039024301 16.62566483910707, 74.38842773398454 16.62566483910707)"
-1.6,13.6,12,-10.958904109589,-0.40904799405193,Hatkanangle,Hatkanangle,1103094,1103094,3.3110109688201,"LINESTRING (74.41040039024301 16.62566483910707, 74.38842774093071 16.60460960781876)"
1.2,19.8,21,5.7692307692308,0.40683810217249,Hatkanangle,Hatkanangle,1103094,1103094,2.3412385734193,"LINESTRING (74.41040039024301 16.62566483910707, 74.41040039719302 16.60460960781876)"
-3,14,11,-20,-0.70710678118655,Hatkanangle,Hatkanangle,1103094,1103094,2.3411116920316,"LINESTRING (74.41040039024301 16.62566483910707, 74.43237305868146 16.625664841833036)"
-1.8,14.8,13,-11.392405063291,-0.4055453181534,Walwa,Walwa,1103105,1103105,2.3370944199263,"LINESTRING (74.41040039069352 16.96223262723729, 74.41040038429882 16.941214665158228)"
-3.8,13.8,10,-25.675675675676,-4,Palus,Palus,1103106,1103106,2.3349939381415,"LINESTRING (74.41040040652283 17.109292372888447, 74.41040038132063 17.130291444910632)"
1,12,13,7.6923076923077,0.30860669992418,Hatkanangle,Hatkanangle,1103094,1103094,2.3402093210289,"LINESTRING (74.43237304480623 16.709862642677113, 74.43237305232763 16.6888166676634)"
-0.4,13.4,13,-2.7777777777778,-0.17374889710523,Hatkanangle,Hatkanangle,1103094,1103094,3.3095557825853,"LINESTRING (74.43237304480623 16.709862642677113, 74.45434569638181 16.688816664929178)"
7.4,30.6,38,23.417721518987,1.0759724447693,Hatkanangle,Hatkanangle,1103094,1103094,2.3400805798476,"LINESTRING (74.43237304480623 16.709862642677113, 74.45434570104558 16.709862642679674)"
9.2,10.8,20,77.966101694915,2.9539419757125,Hatkanangle,Hatkanangle,1103094,1103094,2.3402093210289,"LINESTRING (74.43237305232763 16.6888166676634, 74.43237304480623 16.709862642677113)"
10.2,33.8,44,29.310344827586,1.5171584991373,Hatkanangle,Hatkanangle,1103094,1103094,2.3403371663916,"LINESTRING (74.43237305232763 16.6888166676634, 74.45434569638181 16.688816664929178)"
5.8,12.2,18,43.939393939394,1.7731117374957,Hatkanangle,Hatkanangle,1103094,1103094,3.3095553525804,"LINESTRING (74.43237305232763 16.6888166676634, 74.45434570104558 16.709862642679674)"
-2.4,13.4,11,-16.666666666667,-0.51402352425374,Hatkanangle,Hatkanangle,1103094,1103094,2.3395652484121,"LINESTRING (74.43237305688484 16.75194763472697, 74.41040038844578 16.751947631981288)"
-0.4,12.4,12,-2.9850746268657,-0.23904572186688,Hatkanangle,Hatkanangle,1103094,1103094,2.3396935463227,"LINESTRING (74.43237305688484 16.75194763472697, 74.43237304165504 16.73090629817935)"
-7.8,60.8,53,-12.621359223301,-1.9086942585063,Hatkanangle,Hatkanangle,1103094,1103094,3.3095557825854,"LINESTRING (74.45434569638181 16.688816664929178, 74.43237304480623 16.709862642677113)"
-29.8,99.8,70,-29.563492063492,-4,Hatkanangle,Hatkanangle,1103094,1103094,2.3403371663916,"LINESTRING (74.45434569638181 16.688816664929178, 74.43237305232763 16.6888166676634)"
-38.6,242.6,204,-15.845648604269,-2.2386688178508,Hatkanangle,Hatkanangle,1103094,1103094,2.3402096253458,"LINESTRING (74.45434569638181 16.688816664929178, 74.45434570104558 16.709862642679674)"
