Difference,"Baseline: People Moving","Crisis: People Moving","Percent Change","Standard (Z) Score","Starting Region Name","Ending Region Name","Starting Location","Ending Location",Length(km),Geometry
9.6,15.4,25,58.536585365854,1.7159280129676,Hatkanangle,Hatkanangle,1103094,1103094,2.3385272490397,"LINESTRING (74.3225097640471 16.83608968220265, 74.30053710778988 16.836089682205852)"
-6.4,30.4,24,-20.382165605096,-1.824851035239,Kagal,Kagal,1103099,1103099,2.3417514392543,"LINESTRING (74.32250977028166 16.562492221613134, 74.3225097622968 16.583552065207467)"
-2.4,17.4,15,-13.04347826087,-0.95618288746751,Hatkanangle,Hatkanangle,1103094,1103094,2.3413697234289,"LINESTRING (74.344482404084 16.60460960237917, 74.3664550846991 16.60460960781876)"
5.6,12.4,18,41.791044776119,2.0726529885533,Hatkanangle,Hatkanangle,1103094,1103094,2.3398237068084,"LINESTRING (74.34448241668034 16.73090629818191, 74.36645508511477 16.730906300920786)"
2,10,12,18.181818181818,0.63245553203368,Hatkanangle,Hatkanangle,1103094,1103094,2.3412382702354,"LINESTRING (74.36645506556825 16.62566483638047, 74.3664550846991 16.60460960781876)"
-3,39,36,-7.5,-0.41803980857497,Chikodi,Chikodi,1103786,1103786,2.3439185905548,"LINESTRING (74.36645507640254 16.393930789777983, 74.38842773265294 16.39393078977543)"
-5.2,16.2,11,-30.232558139535,-1.235994990208,Hatkanangle,Hatkanangle,1103094,1103094,2.3413697234289,"LINESTRING (74.3664550846991 16.60460960781876, 74.344482404084 16.60460960237917)"
2,16,18,11.764705882353,0.94280904158206,Hatkanangle,Hatkanangle,1103094,1103094,3.3088249798346,"LINESTRING (74.36645508511477 16.730906300920786, 74.38842773218961 16.751947631982567)"
8,12,20,61.538461538462,2.3094010767585,Chikodi,Chikodi,1103786,1103786,2.3436634469733,"LINESTRING (74.36645508721395 16.415008983812235, 74.38842773129022 16.41500898113066)"
17.8,41.2,59,42.18009478673,4,Chikodi,Chikodi,1103786,1103786,3.3146213422496,"LINESTRING (74.36645508721395 16.415008983812235, 74.38842773265294 16.39393078977543)"
-2.8,14.8,12,-17.721518987342,-1.2278812270298,Hatkanangle,Hatkanangle,1103094,1103094,2.3396932414424,"LINESTRING (74.38842772916385 16.730906298176787, 74.38842773218961 16.751947631982567)"
-2.4,31.4,29,-7.4074074074074,-0.45518594508653,Chikodi,Chikodi,1103786,1103786,2.3437916203833,"LINESTRING (74.38842773129022 16.41500898113066, 74.38842773265294 16.39393078977543)"
-0.6,15.6,15,-3.6144578313253,-0.14221363894199,Chikodi,Chikodi,1103786,1103786,2.3439185905548,"LINESTRING (74.38842773265294 16.39393078977543, 74.36645507640254 16.393930789777983)"
2.8,13.2,16,19.718309859155,0.94928890506913,Chikodi,Chikodi,1103786,1103786,3.3146213422496,"LINESTRING (74.38842773265294 16.39393078977543, 74.36645508721395 16.415008983812235)"
1.6,16.4,18,9.1954022988506,0.39630192369446,Chikodi,Chikodi,1103786,1103786,2.3437916203833,"LINESTRING (74.38842773265294 16.39393078977543, 74.38842773129022 16.41500898113066)"
-0.8,22.8,22,-3.3613445378151,-0.16791019206445,Hatkanangle,Hatkanangle,1103094,1103094,2.3411103943116,"LINESTRING (74.38842773398454 16.62566483910707, 74.41040039024301 16.62566483910707)"
-3.6,20.6,17,-16.666666666667,-0.92035798661684,Walwa,Walwa,1103105,1103105,2.3361766418253,"LINESTRING (74.38842773536584 17.025272390720737, 74.36645509133395 17.02527239351139)"
-5,24,19,-20,-1.3608276348795,Chikodi,Chikodi,1103786,1103786,2.3440452781794,"LINESTRING (74.38842773575045 16.372850317224415, 74.38842773265294 16.39393078977543)"
6,11,17,50,1.3251783128982,Hatkanangle,Hatkanangle,1103094,1103094,2.3412385734193,"LINESTRING (74.38842774093071 16.60460960781876, 74.38842773398454 16.62566483910707)"
-2.8,12.8,10,-20.289855072464,-2.1475019687726,Hatkanangle,Hatkanangle,1103094,1103094,3.3110109688201,"LINESTRING (74.38842774093071 16.60460960781876, 74.41040039024301 16.62566483910707)"
-4.4,15.4,11,-26.829268292683,-2.6295029405357,Palus,Palus,1103106,1103106,2.3353910084258,"LINESTRING (74.41040038537625 17.08829092090766, 74.43237305385979 17.088290923712343)"
6.2,11.8,18,48.4375,1.7397619531256,Hatkanangle,Hatkanangle,1103094,1103094,2.3396929361813,"LINESTRING (74.41040038844578 16.751947631981288, 74.41040039762757 16.730906300920786)"
-0.8,10.8,10,-6.7796610169492,-0.33508312663336,Hatkanangle,Hatkanangle,1103094,1103094,5.2328672099218,"LINESTRING (74.41040038855918 16.709862642679674, 74.45434569638181 16.688816664929178)"
-1.4,24.4,23,-5.511811023622,-0.55777335102272,Hatkanangle,Hatkanangle,1103094,1103094,2.3411103943116,"LINESTRING (74.41040039024301 16.62566483910707, 74.38842773398454 16.62566483910707)"
-1.4,29.4,28,-4.6052631578947,-0.34676418323265,Walwa,Walwa,1103105,1103105,2.3370944199263,"LINESTRING (74.41040039069352 16.96223262723729, 74.41040038429882 16.941214665158228)"
