Difference,"Baseline: People Moving","Crisis: People Moving","Percent Change","Standard (Z) Score","Starting Region Name","Ending Region Name","Starting Location","Ending Location",Length(km),Geometry
-25.4,54.4,29,-45.848375451264,-4,Hatkanangle,Hatkanangle,1103094,1103094,3.309921136574,"LINESTRING (74.47631836274958 16.667768372580287, 74.45434569638181 16.688816664929178)"
-27,59,32,-45,-4,Hatkanangle,Hatkanangle,1103094,1103094,2.3404673016652,"LINESTRING (74.47631836274958 16.667768372580287, 74.47631836483579 16.68881666766596)"
6.2,21.8,28,27.19298245614,2.1651339168857,Hukeri,Gadhinglaj,1103790,1103102,2.3455617421752,"LINESTRING (74.47631836468595 16.26741381957736, 74.47631835310371 16.246319709159394)"
5.8,13.2,19,40.845070422535,1.9663841605004,Hukeri,Hukeri,1103790,1103790,2.3454342697488,"LINESTRING (74.47631836468595 16.26741381957736, 74.49829100876295 16.267413816919113)"
-18.8,207.8,189,-9.0038314176245,-2.6403036105377,Hatkanangle,Hatkanangle,1103094,1103094,2.3403397652516,"LINESTRING (74.47631836483579 16.68881666766596, 74.45434569638181 16.688816664929178)"
-4.6,40.6,36,-11.057692307692,-1.1393680306216,Hatkanangle,Hatkanangle,1103094,1103094,3.3095564874839,"LINESTRING (74.47631836483579 16.68881666766596, 74.45434570104558 16.709862642679674)"
-9.8,40.8,31,-23.444976076555,-1.9718669096346,Hatkanangle,Hatkanangle,1103094,1103094,2.3402093207438,"LINESTRING (74.47631836483579 16.68881666766596, 74.47631835730543 16.709862642677113)"
-11.8,21.8,10,-51.754385964912,-2.2836333491627,Hatkanangle,Hatkanangle,1103094,1103094,2.3404673016652,"LINESTRING (74.47631836483579 16.68881666766596, 74.47631836274958 16.667768372580287)"
7.8,39.2,47,19.402985074627,0.80152968853628,Hukeri,Hukeri,1103790,1103790,2.3454342697488,"LINESTRING (74.49829100876295 16.267413816919113, 74.47631836468595 16.26741381957736)"
-6,18,12,-31.578947368421,-1.7693034738588,Hukeri,Hukeri,1103790,1103790,3.3171241804147,"LINESTRING (74.49829100934923 16.246319709159394, 74.47631836468595 16.26741381957736)"
5.8,11.2,17,47.540983606557,3.0152764204782,Karvir,Karvir,1103096,1103096,2.3403384663241,"LINESTRING (74.16870116515005 16.688816664933018, 74.1906738214087 16.688816664926616)"
2.8,10.2,13,25,3.3466401061363,Shirol,Hatkanangle,1103095,1103094,2.3398237104392,"LINESTRING (74.49829102262757 16.730906300920786, 74.47631835415905 16.73090629817935)"
-6.8,22.8,16,-28.571428571429,-4,Shirol,Shirol,1103095,1103095,3.3080941935958,"LINESTRING (74.5422363212483 16.79402331760615, 74.5642089810401 16.77298663918313)"
-23,105,82,-21.698113207547,-4,Shirol,Shirol,1103095,1103095,2.3393052056232,"LINESTRING (74.5422363247837 16.772986639185692, 74.5642089810401 16.77298663918313)"
-41.8,60.8,19,-67.637540453074,-4,Miraj,Miraj,1103111,1103111,2.3382673574702,"LINESTRING (74.54223632675992 16.85711936129235, 74.56420898301705 16.857119361292995)"
7.6,12.4,20,56.716417910448,2.2608636457732,Chikodi,Chikodi,1103786,1103786,2.3418810315315,"LINESTRING (74.5422363327938 16.562492221613134, 74.52026366433266 16.562492218898633)"
8.6,37.4,46,22.395833333333,1.3222947315081,Shirol,Shirol,1103095,1103095,2.3393052056232,"LINESTRING (74.5642089810401 16.77298663918313, 74.5422363247837 16.772986639185692)"
9.6,16.4,26,55.172413793103,2.5386522496701,Shirol,Shirol,1103095,1103095,2.3391758920802,"LINESTRING (74.5642089810401 16.77298663918313, 74.56420898972583 16.794023320361614)"
-0.4,13.4,13,-2.7777777777778,-0.19289712886817,Shirol,Shirol,1103095,1103095,2.3393052053536,"LINESTRING (74.5642089810401 16.77298663918313, 74.58618163729395 16.772986639188893)"
-10,26,16,-37.037037037037,-2.7216552697591,Miraj,Miraj,1103111,1103111,3.3069924683181,"LINESTRING (74.56420898301705 16.857119361292995, 74.58618162680041 16.836089679443816)"
-15.6,26.6,11,-56.521739130435,-4,Miraj,Miraj,1103111,1103111,3.3066247832084,"LINESTRING (74.56420898301705 16.857119361292995, 74.58618163219822 16.878146700186498)"
-78,175,97,-44.318181818182,-4,Miraj,Miraj,1103111,1103111,2.3382686580571,"LINESTRING (74.56420898301705 16.857119361292995, 74.58618165149595 16.857119364056715)"
-2,17,15,-11.111111111111,-0.73029674334022,Miraj,Miraj,1103111,1103111,10.458211678311,"LINESTRING (74.56420898301705 16.857119361292995, 74.6520996106209 16.815057667835063)"
-22.6,59.6,37,-37.293729372937,-4,Shirol,Shirol,1103095,1103095,2.3391758920802,"LINESTRING (74.56420898972583 16.794023320361614, 74.5642089810401 16.77298663918313)"
4.2,19.8,24,20.192307692308,0.88152850833834,Panhala,Panhala,1103093,1103093,2.3381376912811,"LINESTRING (74.19067381460336 16.85711935852863, 74.19067383192663 16.87814670295767)"
