Difference,"Baseline: People Moving","Crisis: People Moving","Percent Change","Standard (Z) Score","Starting Region Name","Ending Region Name","Starting Location","Ending Location",Length(km),Geometry
3.4,10.6,14,29.310344827586,0.76409317745834,Hatkanangle,Hatkanangle,1103094,1103094,2.3402093210289,"LINESTRING (74.43237305232763 16.6888166676634, 74.43237304480623 16.709862642677113)"
-0.2,49.2,49,-0.398406374502,-0.024488775998915,Hatkanangle,Hatkanangle,1103094,1103094,2.3403371663916,"LINESTRING (74.43237305232763 16.6888166676634, 74.45434569638181 16.688816664929178)"
4.8,12.2,17,36.363636363636,2.3421601750765,Palus,Palus,1103106,1103106,2.3353910084258,"LINESTRING (74.43237305385979 17.088290923712343, 74.41040038537625 17.08829092090766)"
0,14,14,0,0,Palus,Palus,1103106,1103106,2.33538970719,"LINESTRING (74.43237305385979 17.088290923712343, 74.45434571010072 17.088290923714908)"
-2.2,17.2,15,-12.087912087912,-0.52292095739568,Palus,Palus,1103106,1103106,2.3352576408335,"LINESTRING (74.45434569457369 17.10929236726866, 74.45434571010072 17.088290923714908)"
-4.4,23.4,19,-18.032786885246,-2.9012740829415,Hatkanangle,Hatkanangle,1103094,1103094,3.3095557825854,"LINESTRING (74.45434569638181 16.688816664929178, 74.43237304480623 16.709862642677113)"
8,42,50,18.604651162791,0.98848330114434,Hatkanangle,Hatkanangle,1103094,1103094,2.3403371663916,"LINESTRING (74.45434569638181 16.688816664929178, 74.43237305232763 16.6888166676634)"
-2.2,132.2,130,-1.6516516516516,-0.13547763788848,Hatkanangle,Hatkanangle,1103094,1103094,2.3402096253458,"LINESTRING (74.45434569638181 16.688816664929178, 74.45434570104558 16.709862642679674)"
-20.2,46.2,26,-42.796610169492,-3.4796568608753,Hatkanangle,Hatkanangle,1103094,1103094,2.3404669975616,"LINESTRING (74.45434569638181 16.688816664929178, 74.45434570650006 16.66776837257837)"
-8.8,46.8,38,-18.410041841004,-1.2008687110089,Hatkanangle,Hatkanangle,1103094,1103094,3.309556486594,"LINESTRING (74.45434569638181 16.688816664929178, 74.47631835730543 16.709862642677113)"
5,156,161,3.1847133757962,0.82199493652679,Hatkanangle,Hatkanangle,1103094,1103094,2.3403397652516,"LINESTRING (74.45434569638181 16.688816664929178, 74.47631836483579 16.68881666766596)"
-0.8,29.8,29,-2.5974025974026,-0.11463718322706,Hatkanangle,Hatkanangle,1103094,1103094,2.3400805798476,"LINESTRING (74.45434570104558 16.709862642679674, 74.43237304480623 16.709862642677113)"
0,10,10,0,0,Hatkanangle,Hatkanangle,1103094,1103094,3.3095553525803,"LINESTRING (74.45434570104558 16.709862642679674, 74.43237305232763 16.6888166676634)"
-4.4,169.4,165,-2.5821596244131,-0.24818783235136,Hatkanangle,Hatkanangle,1103094,1103094,2.3402096253458,"LINESTRING (74.45434570104558 16.709862642679674, 74.45434569638181 16.688816664929178)"
-2,13,11,-14.285714285714,-0.56568542494924,Bhudargad,Bhudargad,1103100,1103100,2.3449310711967,"LINESTRING (74.14672851905097 16.30959523460176, 74.12475586279929 16.30959523460176)"
-3.6,21.6,18,-15.929203539823,-0.66507204054345,Hatkanangle,Hatkanangle,1103094,1103094,2.3399517069806,"LINESTRING (74.45434570104558 16.709862642679674, 74.45434571012245 16.730906300918225)"
0,47,47,0,0,Hatkanangle,Hatkanangle,1103094,1103094,2.3400805820304,"LINESTRING (74.45434570104558 16.709862642679674, 74.47631835730543 16.709862642677113)"
3,40,43,7.3170731707317,0.3764734830829,Hatkanangle,Hatkanangle,1103094,1103094,3.3095564874839,"LINESTRING (74.45434570104558 16.709862642679674, 74.47631836483579 16.68881666766596)"
-1.2,47.2,46,-2.4896265560166,-0.43244998209387,Hatkanangle,Hatkanangle,1103094,1103094,2.3404669975616,"LINESTRING (74.45434570650006 16.66776837257837, 74.45434569638181 16.688816664929178)"
3.6,10.4,14,31.578947368421,1.7360741598135,Bhudargad,Bhudargad,1103100,1103100,2.3448047706175,"LINESTRING (74.14672851905097 16.30959523460176, 74.14672852134174 16.330682537421644)"
2.8,13.2,16,19.718309859155,0.75648051774162,Palus,Palus,1103106,1103106,2.33538970719,"LINESTRING (74.45434571010072 17.088290923714908, 74.43237305385979 17.088290923712343)"
-2.8,13.8,11,-18.918918918919,-0.44438846554827,Palus,Palus,1103106,1103106,2.3352576408335,"LINESTRING (74.45434571010072 17.088290923714908, 74.45434569457369 17.10929236726866)"
5.6,22.4,28,23.931623931624,0.82747577439176,Hatkanangle,Hatkanangle,1103094,1103094,2.3399517069806,"LINESTRING (74.45434571012245 16.730906300918225, 74.45434570104558 16.709862642679674)"
4.2,33.8,38,12.068965517241,1.0127099265579,Gadhinglaj,Hukeri,1103102,1103790,2.3455617421752,"LINESTRING (74.47631835310371 16.246319709159394, 74.47631836468595 16.26741381957736)"
2.2,11.8,14,17.1875,0.64317588082515,Bhudargad,Bhudargad,1103100,1103100,2.3448047706175,"LINESTRING (74.14672852134174 16.330682537421644, 74.14672851905097 16.30959523460176)"
-1,14,13,-6.6666666666667,-0.34299717028502,Hatkanangle,Hatkanangle,1103094,1103094,5.2325791810949,"LINESTRING (74.47631835415905 16.73090629817935, 74.45434569638181 16.688816664929178)"
4.2,19.8,24,20.192307692308,1.2278812270298,Hatkanangle,Hatkanangle,1103094,1103094,2.339951402715,"LINESTRING (74.47631835415905 16.73090629817935, 74.47631835730543 16.709862642677113)"
-5.2,66.2,61,-7.7380952380952,-0.62510114788465,Hatkanangle,Hatkanangle,1103094,1103094,3.309556486594,"LINESTRING (74.47631835730543 16.709862642677113, 74.45434569638181 16.688816664929178)"
9,50,59,17.647058823529,1.782265577358,Hatkanangle,Hatkanangle,1103094,1103094,2.3400805820304,"LINESTRING (74.47631835730543 16.709862642677113, 74.45434570104558 16.709862642679674)"
-0.4,17.4,17,-2.1739130434783,-0.12463539056995,Hatkanangle,Hatkanangle,1103094,1103094,2.339951402715,"LINESTRING (74.47631835730543 16.709862642677113, 74.47631835415905 16.73090629817935)"
-7,58,51,-11.864406779661,-1.2888044650577,Hatkanangle,Hatkanangle,1103094,1103094,2.3402093207438,"LINESTRING (74.47631835730543 16.709862642677113, 74.47631836483579 16.68881666766596)"
10.8,25.2,36,41.221374045802,3.6615429195524,Hatkanangle,Hatkanangle,1103094,1103094,3.309921136574,"LINESTRING (74.47631836274958 16.667768372580287, 74.45434569638181 16.688816664929178)"
3.8,26.2,30,13.970588235294,1.066305713206,Hatkanangle,Hatkanangle,1103094,1103094,2.3404673016652,"LINESTRING (74.47631836274958 16.667768372580287, 74.47631836483579 16.68881666766596)"
11.8,30.2,42,37.820512820513,1.6102557715801,Hukeri,Gadhinglaj,1103790,1103102,2.3455617421752,"LINESTRING (74.47631836468595 16.26741381957736, 74.47631835310371 16.246319709159394)"
0.8,22.2,23,3.448275862069,0.27122540144832,Hukeri,Hukeri,1103790,1103790,2.3454342697488,"LINESTRING (74.47631836468595 16.26741381957736, 74.49829100876295 16.267413816919113)"
20,177,197,11.23595505618,1.0886621079036,Hatkanangle,Hatkanangle,1103094,1103094,2.3403397652516,"LINESTRING (74.47631836483579 16.68881666766596, 74.45434569638181 16.688816664929178)"
-0.8,34.8,34,-2.2346368715084,-0.33508312663336,Hatkanangle,Hatkanangle,1103094,1103094,3.3095564874839,"LINESTRING (74.47631836483579 16.68881666766596, 74.45434570104558 16.709862642679674)"
-0.2,35.2,35,-0.55248618784531,-0.033013910040024,Hatkanangle,Hatkanangle,1103094,1103094,2.3402093207438,"LINESTRING (74.47631836483579 16.68881666766596, 74.47631835730543 16.709862642677113)"
-20.2,30.2,10,-64.74358974359,-4,Hatkanangle,Hatkanangle,1103094,1103094,2.3404673016652,"LINESTRING (74.47631836483579 16.68881666766596, 74.47631836274958 16.667768372580287)"
7,31,38,21.875,1.1586482440433,Hukeri,Hukeri,1103790,1103790,2.3454342697488,"LINESTRING (74.49829100876295 16.267413816919113, 74.47631836468595 16.26741381957736)"
7.2,18.8,26,36.363636363636,2.3737697042248,Hukeri,Hukeri,1103790,1103790,3.3171241804147,"LINESTRING (74.49829100934923 16.246319709159394, 74.47631836468595 16.26741381957736)"
3.2,71.8,75,4.3956043956044,0.22393506824395,Shirol,Shirol,1103095,1103095,2.3393052056232,"LINESTRING (74.5422363247837 16.772986639185692, 74.5642089810401 16.77298663918313)"
-7.8,56.8,49,-13.494809688581,-1.1064108049072,Shirol,Shirol,1103095,1103095,2.3393052056232,"LINESTRING (74.5642089810401 16.77298663918313, 74.5422363247837 16.772986639185692)"
-12,27,15,-42.857142857143,-2.8284271247462,Shirol,Shirol,1103095,1103095,2.3391758920802,"LINESTRING (74.5642089810401 16.77298663918313, 74.56420898972583 16.794023320361614)"
-15.6,50.6,35,-30.232558139535,-1.9304920065731,Miraj,Miraj,1103111,1103111,3.3069924683181,"LINESTRING (74.56420898301705 16.857119361292995, 74.58618162680041 16.836089679443816)"
-27,52,25,-50.943396226415,-2.3958625754235,Miraj,Miraj,1103111,1103111,3.3066247832084,"LINESTRING (74.56420898301705 16.857119361292995, 74.58618163219822 16.878146700186498)"
-80.2,202.2,122,-39.468503937008,-4,Miraj,Miraj,1103111,1103111,2.3382686580571,"LINESTRING (74.56420898301705 16.857119361292995, 74.58618165149595 16.857119364056715)"
-4.8,29.8,25,-15.584415584416,-1.0304130977786,Miraj,Miraj,1103111,1103111,4.6765334032583,"LINESTRING (74.56420898301705 16.857119361292995, 74.6081542832731 16.85711935852863)"
5.8,12.2,18,43.939393939394,3.0152764204782,Miraj,Miraj,1103111,1103111,5.2282344509257,"LINESTRING (74.56420898301705 16.857119361292995, 74.6081543007001 16.87814670295767)"
-5.6,29.6,24,-18.300653594771,-1.3870567329306,Miraj,Miraj,1103111,1103111,5.2288163632955,"LINESTRING (74.56420898301705 16.857119361292995, 74.60815430753232 16.83608968496725)"
-9.6,23.6,14,-39.024390243902,-3.332208645603,Miraj,Miraj,1103111,1103111,9.6414590646373,"LINESTRING (74.56420898301705 16.857119361292995, 74.65209960778476 16.83608968220265)"
-5.2,30.2,25,-16.666666666667,-1.1867322079279,Miraj,Miraj,1103111,1103111,10.458211678311,"LINESTRING (74.56420898301705 16.857119361292995, 74.6520996106209 16.815057667835063)"
9,37,46,23.684210526316,4,Shirol,Shirol,1103095,1103095,2.3391758920802,"LINESTRING (74.56420898972583 16.794023320361614, 74.5642089810401 16.77298663918313)"
-7.2,31.2,24,-22.360248447205,-1.7618716232366,Chikodi,Chikodi,1103786,1103786,3.3142618521878,"LINESTRING (74.56420899349799 16.415008983814793, 74.5861816397987 16.436084889100794)"
3.2,22.8,26,13.445378151261,0.78305405477183,Chikodi,Chikodi,1103786,1103786,2.3436647434798,"LINESTRING (74.56420899349799 16.415008983814793, 74.58618164972961 16.415008983814793)"
-59,85,26,-68.604651162791,-4,Miraj,Miraj,1103111,1103111,3.306992468318,"LINESTRING (74.58618162680041 16.836089679443816, 74.56420898301705 16.857119361292995)"
14.2,101.8,116,13.813229571984,1.3651322104254,Miraj,Miraj,1103111,1103111,2.3383979082629,"LINESTRING (74.58618162680041 16.836089679443816, 74.58618165149595 16.857119364056715)"
9.4,10.6,20,81.034482758621,2.796331351351,Miraj,Miraj,1103111,1103111,3.3069932058796,"LINESTRING (74.58618162680041 16.836089679443816, 74.6081542832731 16.85711935852863)"
6.8,31.2,38,21.11801242236,1.4945957396971,Miraj,Miraj,1103111,1103111,2.3385298538555,"LINESTRING (74.58618162680041 16.836089679443816, 74.60815430753232 16.83608968496725)"
-54.2,82.2,28,-65.144230769231,-4,Miraj,Miraj,1103111,1103111,3.3066247832086,"LINESTRING (74.58618163219822 16.878146700186498, 74.56420898301705 16.857119361292995)"
6,20,26,28.571428571429,1.6329931618555,Miraj,Miraj,1103111,1103111,2.3378772327379,"LINESTRING (74.58618163219822 16.878146700186498, 74.58618164410828 16.89917170225926)"
-1.2,75.2,74,-1.5748031496063,-0.15215493880229,Miraj,Miraj,1103111,1103111,2.3381367684456,"LINESTRING (74.58618163219822 16.878146700186498, 74.58618165149595 16.857119364056715)"
2,12,14,15.384615384615,0.52522573143889,Miraj,Miraj,1103111,1103111,3.3066251430635,"LINESTRING (74.58618163219822 16.878146700186498, 74.6081542832731 16.85711935852863)"
10,15,25,62.5,3.0151134457776,Miraj,Miraj,1103111,1103111,2.3380084827666,"LINESTRING (74.58618163219822 16.878146700186498, 74.6081543007001 16.87814670295767)"
-1.8,17.8,16,-9.5744680851064,-0.39093501848676,Miraj,Miraj,1103111,1103111,4.6760156538654,"LINESTRING (74.58618163219822 16.878146700186498, 74.63012695694297 16.87814670295639)"
6.4,16.6,23,36.363636363636,1.1349230434111,Chikodi,Chikodi,1103786,1103786,3.3142618521878,"LINESTRING (74.5861816397987 16.436084889100794, 74.56420899349799 16.415008983814793)"
9.8,43.2,53,22.171945701357,1.3564095042778,Chikodi,Chikodi,1103786,1103786,2.3435374206838,"LINESTRING (74.5861816397987 16.436084889100794, 74.58618164972961 16.415008983814793)"
8.6,10.4,19,75.438596491228,1.863410977075,Tasgaon,Tasgaon,1103110,1103110,3.30366783973,"LINESTRING (74.58618164161969 17.025272390720737, 74.60815428598734 17.04628092769377)"
6.8,21.2,28,30.630630630631,1.3159920995175,Miraj,Miraj,1103111,1103111,2.3378772327379,"LINESTRING (74.58618164410828 16.89917170225926, 74.58618163219822 16.878146700186498)"
0.8,14.2,15,5.2631578947368,0.17173551629644,Chikodi,Chikodi,1103786,1103786,2.3436647434798,"LINESTRING (74.58618164972961 16.415008983814793, 74.56420899349799 16.415008983814793)"
0,62,62,0,0,Chikodi,Chikodi,1103786,1103786,2.3435374206838,"LINESTRING (74.58618164972961 16.415008983814793, 74.5861816397987 16.436084889100794)"
-159.2,250.2,91,-63.375796178344,-4,Miraj,Miraj,1103111,1103111,2.3382686580571,"LINESTRING (74.58618165149595 16.857119364056715, 74.56420898301705 16.857119361292995)"
50.6,89.4,140,55.973451327434,4,Miraj,Miraj,1103111,1103111,2.3383979082629,"LINESTRING (74.58618165149595 16.857119364056715, 74.58618162680041 16.836089679443816)"
-0.8,59.8,59,-1.3157894736842,-0.0763812344811,Miraj,Miraj,1103111,1103111,2.3381367684456,"LINESTRING (74.58618165149595 16.857119364056715, 74.58618163219822 16.878146700186498)"
19.2,67.8,87,27.906976744186,3.4652298032853,Miraj,Miraj,1103111,1103111,2.3382647523795,"LINESTRING (74.58618165149595 16.857119364056715, 74.6081542832731 16.85711935852863)"
7,15,22,43.75,1.6274669424135,Miraj,Miraj,1103111,1103111,3.3066247854995,"LINESTRING (74.58618165149595 16.857119364056715, 74.6081543007001 16.87814670295767)"
8.2,32.8,41,24.260355029586,1.2698307068191,Miraj,Miraj,1103111,1103111,3.3069931733635,"LINESTRING (74.58618165149595 16.857119364056715, 74.60815430753232 16.83608968496725)"
2.6,14.4,17,16.883116883117,0.59182688968778,Miraj,Miraj,1103111,1103111,5.228814307261,"LINESTRING (74.58618165149595 16.857119364056715, 74.63012695152499 16.836089682205852)"
-6.6,25.6,19,-24.812030075188,-2.2908934438521,Miraj,Miraj,1103111,1103111,5.2282331488094,"LINESTRING (74.58618165149595 16.857119364056715, 74.63012695694297 16.87814670295639)"
-6.2,18.2,12,-32.291666666667,-1.1573127590672,Miraj,Miraj,1103111,1103111,7.3946604237025,"LINESTRING (74.58618165149595 16.857119364056715, 74.65209960778476 16.83608968220265)"
8.6,16.4,25,49.425287356322,1.4903090354088,Miraj,Miraj,1103111,1103111,8.4316789343544,"LINESTRING (74.58618165149595 16.857119364056715, 74.6520996106209 16.815057667835063)"
-9.2,21.2,12,-41.441441441441,-2.3995464424036,Shirol,Shirol,1103095,1103095,2.3404666937887,"LINESTRING (74.58618165622984 16.667768375310263, 74.58618163386451 16.688816664929178)"
-29,48,19,-59.183673469388,-4,Miraj,Miraj,1103111,1103111,4.6765334032583,"LINESTRING (74.6081542832731 16.85711935852863, 74.56420898301705 16.857119361292995)"
0,22,22,0,0,Miraj,Miraj,1103111,1103111,3.3069932058796,"LINESTRING (74.6081542832731 16.85711935852863, 74.58618162680041 16.836089679443816)"
0,13,13,0,0,Miraj,Miraj,1103111,1103111,3.3066251430632,"LINESTRING (74.6081542832731 16.85711935852863, 74.58618163219822 16.878146700186498)"
5.8,85.2,91,6.7285382830626,0.9323361228628,Miraj,Miraj,1103111,1103111,2.3382647523795,"LINESTRING (74.6081542832731 16.85711935852863, 74.58618165149595 16.857119364056715)"
2.8,26.2,29,10.294117647059,0.48964819174787,Miraj,Miraj,1103111,1103111,2.3381376912811,"LINESTRING (74.6081542832731 16.85711935852863, 74.6081543007001 16.87814670295767)"
