Difference,"Baseline: People Moving","Crisis: People Moving","Percent Change","Standard (Z) Score","Starting Region Name","Ending Region Name","Starting Location","Ending Location",Length(km),Geometry
2.2,11.8,14,17.1875,1.2298373876249,Hatkanangle,Hatkanangle,1103094,1103094,3.309921136574,"LINESTRING (74.47631836274958 16.667768372580287, 74.45434569638181 16.688816664929178)"
-4.6,53.6,49,-8.4249084249084,-0.84981427402774,Hukeri,Gadhinglaj,1103790,1103102,2.3455617421752,"LINESTRING (74.47631836468595 16.26741381957736, 74.47631835310371 16.246319709159394)"
5.6,45.4,51,12.068965517241,1.2585064099314,Hukeri,Hukeri,1103790,1103790,2.3454342697488,"LINESTRING (74.47631836468595 16.26741381957736, 74.49829100876295 16.267413816919113)"
-0.8,23.8,23,-3.2258064516129,-0.16432960600355,Hukeri,Hukeri,1103790,1103790,3.3171241804145,"LINESTRING (74.47631836468595 16.26741381957736, 74.49829100934923 16.246319709159394)"
-2.8,13.8,11,-18.918918918919,-1.1245070604635,Hatkanangle,Hatkanangle,1103094,1103094,4.6806769245134,"LINESTRING (74.47631836483579 16.68881666766596, 74.43237305232763 16.6888166676634)"
19.4,157.6,177,12.232030264817,3.17648869492,Hatkanangle,Hatkanangle,1103094,1103094,2.3403397652516,"LINESTRING (74.47631836483579 16.68881666766596, 74.45434569638181 16.688816664929178)"
-1,54,53,-1.8181818181818,-0.15617376188861,Hatkanangle,Hatkanangle,1103094,1103094,3.3095564874839,"LINESTRING (74.47631836483579 16.68881666766596, 74.45434570104558 16.709862642679674)"
-21.8,31.8,10,-66.463414634146,-2.7314092601276,Hatkanangle,Hatkanangle,1103094,1103094,3.3099207469313,"LINESTRING (74.47631836483579 16.68881666766596, 74.45434570650006 16.66776837257837)"
18.8,73.2,92,25.33692722372,2.0132588033272,Hatkanangle,Hatkanangle,1103094,1103094,2.3402093207438,"LINESTRING (74.47631836483579 16.68881666766596, 74.47631835730543 16.709862642677113)"
-18.8,61.8,43,-29.936305732484,-2.1058560876713,Hatkanangle,Hatkanangle,1103094,1103094,2.3404673016652,"LINESTRING (74.47631836483579 16.68881666766596, 74.47631836274958 16.667768372580287)"
3.6,11.4,15,29.032258064516,1.2135597524338,Hukeri,Hukeri,1103790,1103790,2.3454342697488,"LINESTRING (74.49829100876295 16.267413816919113, 74.47631836468595 16.26741381957736)"
1.6,12.4,14,11.940298507463,1.4032928308912,Chikodi,Chikodi,1103786,1103786,2.3413671261989,"LINESTRING (74.49829101000056 16.604609605095124, 74.52026366624183 16.604609605100244)"
-2.2,15.2,13,-13.58024691358,-0.88354126179275,Shirol,Hatkanangle,1103095,1103094,2.3398237104392,"LINESTRING (74.49829102262757 16.730906300920786, 74.47631835415905 16.73090629817935)"
-0.2,11.2,11,-1.6393442622951,-0.043958698226386,Shirol,Hatkanangle,1103095,1103094,3.3091919891549,"LINESTRING (74.49829102262757 16.730906300920786, 74.47631835730543 16.709862642677113)"
1,14,15,6.6666666666667,0.30151134457776,Chikodi,Chikodi,1103786,1103786,2.3418810315315,"LINESTRING (74.52026366433266 16.562492218898633, 74.5422363327938 16.562492221613134)"
0.2,33.8,34,0.57471264367817,0.062622429108516,Shirol,Shirol,1103095,1103095,2.3393052056232,"LINESTRING (74.5422363247837 16.772986639185692, 74.5642089810401 16.77298663918313)"
6.4,12.6,19,47.058823529412,1.9038851753879,Miraj,Miraj,1103111,1103111,2.3382673574702,"LINESTRING (74.54223632675992 16.85711936129235, 74.56420898301705 16.857119361292995)"
-8.4,28.4,20,-28.571428571429,-1.8200758380732,Shirol,Shirol,1103095,1103095,3.3080941935958,"LINESTRING (74.5642089810401 16.77298663918313, 74.5422363212483 16.79402331760615)"
-17.4,117.4,100,-14.695945945946,-2.4533824583781,Shirol,Shirol,1103095,1103095,2.3393052056232,"LINESTRING (74.5642089810401 16.77298663918313, 74.5422363247837 16.772986639185692)"
-31.4,60.4,29,-51.14006514658,-4,Shirol,Shirol,1103095,1103095,2.3391758920802,"LINESTRING (74.5642089810401 16.77298663918313, 74.56420898972583 16.794023320361614)"
-63.4,79.4,16,-78.855721393035,-4,Miraj,Miraj,1103111,1103111,2.3382673574702,"LINESTRING (74.56420898301705 16.857119361292995, 74.54223632675992 16.85711936129235)"
-137.8,148.8,11,-91.989319092123,-4,Miraj,Miraj,1103111,1103111,2.3383969870564,"LINESTRING (74.56420898301705 16.857119361292995, 74.56420899501165 16.836089684964687)"
-73.6,121.6,48,-60.032626427406,-4,Miraj,Miraj,1103111,1103111,3.3069924683181,"LINESTRING (74.56420898301705 16.857119361292995, 74.58618162680041 16.836089679443816)"
-90.6,126.6,36,-71.003134796238,-4,Miraj,Miraj,1103111,1103111,3.3066247832084,"LINESTRING (74.56420898301705 16.857119361292995, 74.58618163219822 16.878146700186498)"
-134.8,255.8,121,-52.492211838006,-4,Miraj,Miraj,1103111,1103111,2.3382686580571,"LINESTRING (74.56420898301705 16.857119361292995, 74.58618165149595 16.857119364056715)"
-32.2,66.2,34,-47.916666666667,-3.5624177286556,Miraj,Miraj,1103111,1103111,4.6765334032583,"LINESTRING (74.56420898301705 16.857119361292995, 74.6081542832731 16.85711935852863)"
-24,46,22,-51.063829787234,-4,Miraj,Miraj,1103111,1103111,5.2282344509257,"LINESTRING (74.56420898301705 16.857119361292995, 74.6081543007001 16.87814670295767)"
-24,50,26,-47.058823529412,-4,Miraj,Miraj,1103111,1103111,5.2288163632955,"LINESTRING (74.56420898301705 16.857119361292995, 74.60815430753232 16.83608968496725)"
-2,15,13,-12.5,-0.47809144373376,Miraj,Miraj,1103111,1103111,7.3946615601207,"LINESTRING (74.56420898301705 16.857119361292995, 74.63012695152499 16.836089682205852)"
-15.4,29.4,14,-50.657894736842,-4,Miraj,Miraj,1103111,1103111,9.6414590646373,"LINESTRING (74.56420898301705 16.857119361292995, 74.65209960778476 16.83608968220265)"
0.4,12.6,13,2.9411764705882,0.13116516715679,Panhala,Panhala,1103093,1103093,2.3381376912811,"LINESTRING (74.19067381460336 16.85711935852863, 74.19067383192663 16.87814670295767)"
-10.6,33.6,23,-30.635838150289,-2.270270565454,Miraj,Miraj,1103111,1103111,10.458211678311,"LINESTRING (74.56420898301705 16.857119361292995, 74.6520996106209 16.815057667835063)"
23.4,16.6,40,132.95454545455,4,Shirol,Shirol,1103095,1103095,2.3391758920802,"LINESTRING (74.56420898972583 16.794023320361614, 74.5642089810401 16.77298663918313)"
2.2,15.8,18,13.095238095238,0.88354126179275,Chikodi,Chikodi,1103786,1103786,3.3142618521878,"LINESTRING (74.56420899349799 16.415008983814793, 74.5861816397987 16.436084889100794)"
-1,16,15,-5.8823529411765,-0.36514837167011,Chikodi,Chikodi,1103786,1103786,2.3436647434798,"LINESTRING (74.56420899349799 16.415008983814793, 74.58618164972961 16.415008983814793)"
-4.2,15.2,11,-25.925925925926,-0.95851447563404,Panhala,Panhala,1103093,1103093,2.3382699478636,"LINESTRING (74.19067381460336 16.85711935852863, 74.21264649520238 16.857119364056715)"
-13.6,29.6,16,-44.444444444444,-2.4505498985319,Miraj,Miraj,1103111,1103111,3.306992468318,"LINESTRING (74.58618162680041 16.836089679443816, 74.56420898301705 16.857119361292995)"
-6.4,19.4,13,-31.372549019608,-2.1574395598824,Miraj,Miraj,1103111,1103111,2.3385246448876,"LINESTRING (74.58618162680041 16.836089679443816, 74.56420899501165 16.836089684964687)"
15,64,79,23.076923076923,2.0412414523193,Miraj,Miraj,1103111,1103111,2.3383979082629,"LINESTRING (74.58618162680041 16.836089679443816, 74.58618165149595 16.857119364056715)"
7,12,19,53.846153846154,2.7456258919346,Miraj,Miraj,1103111,1103111,3.3069932058796,"LINESTRING (74.58618162680041 16.836089679443816, 74.6081542832731 16.85711935852863)"
3.4,38.6,42,8.5858585858586,0.7281999926928,Miraj,Miraj,1103111,1103111,2.3385298538555,"LINESTRING (74.58618162680041 16.836089679443816, 74.60815430753232 16.83608968496725)"
-19.8,32.8,13,-58.579881656805,-4,Miraj,Miraj,1103111,1103111,3.3066247832086,"LINESTRING (74.58618163219822 16.878146700186498, 74.56420898301705 16.857119361292995)"
1.6,31.4,33,4.9382716049383,0.88077101210109,Miraj,Miraj,1103111,1103111,2.3378772327379,"LINESTRING (74.58618163219822 16.878146700186498, 74.58618164410828 16.89917170225926)"
0.2,43.8,44,0.44642857142858,0.031742033253448,Miraj,Miraj,1103111,1103111,2.3381367684456,"LINESTRING (74.58618163219822 16.878146700186498, 74.58618165149595 16.857119364056715)"
3,12,15,23.076923076923,0.65465367070798,Miraj,Miraj,1103111,1103111,3.3066251430635,"LINESTRING (74.58618163219822 16.878146700186498, 74.6081542832731 16.85711935852863)"
-3,22,19,-13.04347826087,-0.53881590608032,Miraj,Miraj,1103111,1103111,2.3380084827666,"LINESTRING (74.58618163219822 16.878146700186498, 74.6081543007001 16.87814670295767)"
3.6,25.4,29,13.636363636364,0.67672042235722,Shirol,Shirol,1103095,1103095,2.3404666937887,"LINESTRING (74.58618163386451 16.688816664929178, 74.58618165622984 16.667768375310263)"
0.2,10.8,11,1.6949152542373,0.069843029576958,Shirol,Shirol,1103095,1103095,2.3393052053536,"LINESTRING (74.58618163729395 16.772986639188893, 74.5642089810401 16.77298663918313)"
-4.4,34.4,30,-12.429378531073,-0.91153786951155,Chikodi,Chikodi,1103786,1103786,3.3142618521878,"LINESTRING (74.5861816397987 16.436084889100794, 74.56420899349799 16.415008983814793)"
0.6,61.4,62,0.96153846153846,0.19166296949998,Chikodi,Chikodi,1103786,1103786,2.3435374206838,"LINESTRING (74.5861816397987 16.436084889100794, 74.58618164972961 16.415008983814793)"
3.8,14.2,18,25,0.6914807989845,Chikodi,Chikodi,1103786,1103786,2.3434106108376,"LINESTRING (74.5861816397987 16.436084889100794, 74.6081542960491 16.436084889100794)"
-2.8,25.8,23,-10.44776119403,-1.1245070604635,Miraj,Miraj,1103111,1103111,2.3378772327379,"LINESTRING (74.58618164410828 16.89917170225926, 74.58618163219822 16.878146700186498)"
4.6,10.4,15,40.350877192982,1.7025363834545,Miraj,Miraj,1103111,1103111,2.3377467172111,"LINESTRING (74.58618164410828 16.89917170225926, 74.60815430037343 16.89917170225926)"
-3.4,26.4,23,-12.408759124088,-0.93229444508204,Chikodi,Chikodi,1103786,1103786,2.3436647434798,"LINESTRING (74.58618164972961 16.415008983814793, 74.56420899349799 16.415008983814793)"
0,45,45,0,0,Chikodi,Chikodi,1103786,1103786,2.3435374206838,"LINESTRING (74.58618164972961 16.415008983814793, 74.5861816397987 16.436084889100794)"
-121.2,191.2,70,-63.059313215401,-4,Miraj,Miraj,1103111,1103111,2.3382686580571,"LINESTRING (74.58618165149595 16.857119364056715, 74.56420898301705 16.857119361292995)"
-5.2,176.2,171,-2.9345372460497,-1.7629651094141,Miraj,Miraj,1103111,1103111,2.3383979082629,"LINESTRING (74.58618165149595 16.857119364056715, 74.58618162680041 16.836089679443816)"
-16.2,125.2,109,-12.83676703645,-1.2661660801237,Miraj,Miraj,1103111,1103111,2.3381367684456,"LINESTRING (74.58618165149595 16.857119364056715, 74.58618163219822 16.878146700186498)"
-1,15,14,-6.25,-0.28284271247462,Miraj,Miraj,1103111,1103111,4.6760140011822,"LINESTRING (74.58618165149595 16.857119364056715, 74.58618164410828 16.89917170225926)"
2.4,121.6,124,1.9575856443719,0.6580901965285,Miraj,Miraj,1103111,1103111,2.3382647523795,"LINESTRING (74.58618165149595 16.857119364056715, 74.6081542832731 16.85711935852863)"
16.2,40.8,57,38.755980861244,4,Miraj,Miraj,1103111,1103111,3.3066247854995,"LINESTRING (74.58618165149595 16.857119364056715, 74.6081543007001 16.87814670295767)"
0.6,61.4,62,0.96153846153846,0.084182029989947,Miraj,Miraj,1103111,1103111,3.3069931733635,"LINESTRING (74.58618165149595 16.857119364056715, 74.60815430753232 16.83608968496725)"
4,19,23,20,1.0690449676497,Karvir,Karvir,1103096,1103096,2.3403397615347,"LINESTRING (74.1906738214087 16.688816664926616, 74.21264648982779 16.68881666766596)"
6,15,21,37.5,1.8090680674666,Miraj,Miraj,1103111,1103111,5.228814307261,"LINESTRING (74.58618165149595 16.857119364056715, 74.63012695152499 16.836089682205852)"
-2.8,17.8,15,-14.893617021277,-0.73029674334022,Miraj,Miraj,1103111,1103111,5.2282331488094,"LINESTRING (74.58618165149595 16.857119364056715, 74.63012695694297 16.87814670295639)"
-3.2,33.2,30,-9.3567251461988,-0.43872679768567,Miraj,Miraj,1103111,1103111,7.3946604237025,"LINESTRING (74.58618165149595 16.857119364056715, 74.65209960778476 16.83608968220265)"
-5.4,30.4,25,-17.197452229299,-3.5606545563372,Miraj,Miraj,1103111,1103111,8.4316789343544,"LINESTRING (74.58618165149595 16.857119364056715, 74.6520996106209 16.815057667835063)"
-9.2,23.2,14,-38.01652892562,-2.3995464424036,Miraj,Miraj,1103111,1103111,3.3069932058796,"LINESTRING (74.6081542832731 16.85711935852863, 74.58618162680041 16.836089679443816)"
-4.8,19.8,15,-23.076923076923,-1.3742360023533,Miraj,Miraj,1103111,1103111,3.3066251430632,"LINESTRING (74.6081542832731 16.85711935852863, 74.58618163219822 16.878146700186498)"
0,53,53,0,0,Miraj,Miraj,1103111,1103111,2.3382647523795,"LINESTRING (74.6081542832731 16.85711935852863, 74.58618165149595 16.857119364056715)"
3.4,23.6,27,13.821138211382,0.80587728733796,Miraj,Miraj,1103111,1103111,2.3381376912811,"LINESTRING (74.6081542832731 16.85711935852863, 74.6081543007001 16.87814670295767)"
2,28,30,6.8965517241379,0.2871832634471,Miraj,Miraj,1103111,1103111,2.3383966793895,"LINESTRING (74.6081542832731 16.85711935852863, 74.60815430753232 16.83608968496725)"
-3,13,10,-21.428571428571,-4,Miraj,Miraj,1103111,1103111,3.3066270609799,"LINESTRING (74.6081542832731 16.85711935852863, 74.63012695694297 16.87814670295639)"
8.6,20.4,29,40.18691588785,3.2979494520437,Tasgaon,Tasgaon,1103110,1103110,3.30366783973,"LINESTRING (74.60815428598734 17.04628092769377, 74.58618164161969 17.025272390720737)"
2,12,14,15.384615384615,0.49236596391733,Tasgaon,Tasgaon,1103110,1103110,2.3359141792786,"LINESTRING (74.60815428598734 17.04628092769377, 74.58618164198295 17.04628093049701)"
5.4,44.6,50,11.842105263158,1.1435135846966,Tasgaon,Tasgaon,1103110,1103110,2.3360460837163,"LINESTRING (74.60815428598734 17.04628092769377, 74.60815431011193 17.025272393513955)"
-2.8,16.8,14,-15.730337078652,-0.56918093972722,Chikodi,Chikodi,1103786,1103786,2.3422633275946,"LINESTRING (74.60815429097498 16.520365623988756, 74.6081542890862 16.541430071098308)"
10.8,11.2,22,88.524590163934,4,Shirol,Shirol,1103095,1103095,2.3396935466074,"LINESTRING (74.60815429165825 16.730906298176787, 74.60815430691558 16.75194763472697)"
-10,33,23,-29.411764705882,-4,Hukeri,Hukeri,1103790,1103790,2.3458130772671,"LINESTRING (74.60815429272411 16.225223338434187, 74.60815429059477 16.246319709159394)"
2.6,10.4,13,22.80701754386,1.3337718577107,Miraj,Miraj,1103111,1103111,2.3374859671923,"LINESTRING (74.60815429635954 16.92019435704662, 74.63012695261683 16.92019435704662)"
-1.4,16.4,15,-8.0459770114942,-0.63900965042269,Miraj,Miraj,1103111,1103111,2.3380084827666,"LINESTRING (74.6081543007001 16.87814670295767, 74.58618163219822 16.878146700186498)"
5,26,31,18.518518518519,0.83918135829669,Miraj,Miraj,1103111,1103111,2.3381376912811,"LINESTRING (74.6081543007001 16.87814670295767, 74.6081542832731 16.85711935852863)"
-4.8,18.8,14,-24.242424242424,-1.2114107163002,Miraj,Miraj,1103111,1103111,2.3380071783279,"LINESTRING (74.6081543007001 16.87814670295767, 74.63012695694297 16.87814670295639)"
1.2,42.8,44,2.7397260273973,0.14804664203952,Miraj,Miraj,1103111,1103111,2.3385298538555,"LINESTRING (74.60815430753232 16.83608968496725, 74.58618162680041 16.836089679443816)"
3.4,26.6,30,12.31884057971,0.70437017189529,Miraj,Miraj,1103111,1103111,3.3069931733636,"LINESTRING (74.60815430753232 16.83608968496725, 74.58618165149595 16.857119364056715)"
-4.4,48.4,44,-8.9068825910931,-0.75128655443876,Miraj,Miraj,1103111,1103111,2.3383966793895,"LINESTRING (74.60815430753232 16.83608968496725, 74.6081542832731 16.85711935852863)"
-0.2,16.2,16,-1.1627906976744,-0.028958149517538,Miraj,Miraj,1103111,1103111,2.3385259437193,"LINESTRING (74.60815430753232 16.83608968496725, 74.63012695152499 16.836089682205852)"
1.4,12.6,14,10.294117647059,0.29319773580419,Miraj,Miraj,1103111,1103111,4.6770531858027,"LINESTRING (74.60815430753232 16.83608968496725, 74.65209960778476 16.83608968220265)"
3.6,12.4,16,26.865671641791,1.9817347772274,Tasgaon,Tasgaon,1103110,1103110,2.3361792424997,"LINESTRING (74.60815431011193 17.025272393513955, 74.58618164161969 17.025272390720737)"
6.6,37.4,44,17.1875,0.83284486745636,Tasgaon,Tasgaon,1103110,1103110,2.3360460837163,"LINESTRING (74.60815431011193 17.025272393513955, 74.60815428598734 17.04628092769377)"
14.4,10.6,25,124.13793103448,4,Tasgaon,Tasgaon,1103110,1103110,2.3363094559902,"LINESTRING (74.60815431011193 17.025272393513955, 74.60815429268787 17.004261490774095)"
-1.2,19.2,18,-5.9405940594059,-0.22399601788397,Miraj,Miraj,1103111,1103111,5.2288143072609,"LINESTRING (74.63012695152499 16.836089682205852, 74.58618165149595 16.857119364056715)"
1,17,18,5.5555555555556,0.36514837167011,Miraj,Miraj,1103111,1103111,3.3069938751124,"LINESTRING (74.63012695152499 16.836089682205852, 74.6081542832731 16.85711935852863)"
-5,23,18,-20.833333333333,-4,Miraj,Miraj,1103111,1103111,2.3385259437193,"LINESTRING (74.63012695152499 16.836089682205852, 74.60815430753232 16.83608968496725)"
-2.8,20.8,18,-12.844036697248,-0.53200798017955,Miraj,Miraj,1103111,1103111,2.3386569654988,"LINESTRING (74.63012695152499 16.836089682205852, 74.63012695436754 16.815057667838907)"
0.8,11.2,12,6.5573770491803,0.28829998806258,Walwa,Karad,1103105,1103074,2.3347306215041,"LINESTRING (74.19067383104225 17.13029144772125, 74.19067382237523 17.15128815168375)"
12.2,52.8,65,22.676579925651,2.0710715042684,Miraj,Miraj,1103111,1103111,2.3385272493133,"LINESTRING (74.63012695152499 16.836089682205852, 74.65209960778476 16.83608968220265)"
-1,42,41,-2.3255813953488,-0.31622776601684,Miraj,Miraj,1103111,1103111,3.3073606892706,"LINESTRING (74.63012695152499 16.836089682205852, 74.6520996106209 16.815057667835063)"
1,15,16,6.25,0.28867513459481,Miraj,Miraj,1103111,1103111,2.3386569654988,"LINESTRING (74.63012695436754 16.815057667838907, 74.63012695152499 16.836089682205852)"
2.4,20.6,23,11.111111111111,0.34533267784137,Miraj,Miraj,1103111,1103111,2.3387868539595,"LINESTRING (74.63012695436754 16.815057667838907, 74.6520996106209 16.815057667835063)"
-7.4,25.4,18,-28.030303030303,-2.1099840094951,Miraj,Miraj,1103111,1103111,4.6760156538654,"LINESTRING (74.63012695694297 16.87814670295639, 74.58618163219822 16.878146700186498)"
1.2,26.8,28,4.3165467625899,0.2703635454356,Miraj,Miraj,1103111,1103111,5.2282331488093,"LINESTRING (74.63012695694297 16.87814670295639, 74.58618165149595 16.857119364056715)"
-4.2,50.2,46,-8.203125,-1.2024565020591,Miraj,Miraj,1103111,1103111,3.3066270609797,"LINESTRING (74.63012695694297 16.87814670295639, 74.6081542832731 16.85711935852863)"
11.4,49.6,61,22.529644268775,2.1060614617209,Miraj,Miraj,1103111,1103111,2.3380071783279,"LINESTRING (74.63012695694297 16.87814670295639, 74.6081543007001 16.87814670295767)"
-0.4,14.4,14,-2.5974025974026,-0.16609095970748,Miraj,Miraj,1103111,1103111,2.3381370764431,"LINESTRING (74.63012695694297 16.87814670295639, 74.63012696400877 16.857119364056715)"
-2.2,17.2,15,-12.087912087912,-0.43825049008928,Miraj,Miraj,1103111,1103111,2.3380058767406,"LINESTRING (74.63012695694297 16.87814670295639, 74.65209960095333 16.878146700186498)"
1.6,15.4,17,9.7560975609756,0.66436383882992,Miraj,Miraj,1103111,1103111,2.338397601137,"LINESTRING (74.63012696400877 16.857119364056715, 74.63012695152499 16.836089682205852)"
-0.8,24.8,24,-3.1007751937985,-0.21613729078332,Panhala,Panhala,1103093,1103093,2.3381376912811,"LINESTRING (74.19067383192663 16.87814670295767, 74.19067381460336 16.85711935852863)"
-1.6,14.6,13,-10.25641025641,-0.59218656815808,Miraj,Miraj,1103111,1103111,2.3381370764431,"LINESTRING (74.63012696400877 16.857119364056715, 74.63012695694297 16.87814670295639)"
2.4,21.6,24,10.619469026549,0.54630174432718,Miraj,Miraj,1103111,1103111,3.3069924681237,"LINESTRING (74.63012696400877 16.857119364056715, 74.65209960778476 16.83608968220265)"
-0.6,14.6,14,-3.8461538461538,-0.18257418583506,Miraj,Miraj,1103111,1103111,2.3380058767406,"LINESTRING (74.65209960095333 16.878146700186498, 74.63012695694297 16.87814670295639)"
1.2,12.8,14,8.695652173913,0.58554004376912,Miraj,Miraj,1103111,1103111,7.015583018105,"LINESTRING (74.65209960778476 16.83608968220265, 74.58618162680041 16.836089679443816)"
-4,17,13,-22.222222222222,-0.95618288746751,Miraj,Miraj,1103111,1103111,7.3946604237025,"LINESTRING (74.65209960778476 16.83608968220265, 74.58618165149595 16.857119364056715)"
-1.6,13.6,12,-10.958904109589,-0.44721359549996,Miraj,Miraj,1103111,1103111,4.6770531858027,"LINESTRING (74.65209960778476 16.83608968220265, 74.60815430753232 16.83608968496725)"
-5.4,49.4,44,-10.714285714286,-0.92203349862939,Miraj,Miraj,1103111,1103111,2.3385272493133,"LINESTRING (74.65209960778476 16.83608968220265, 74.63012695152499 16.836089682205852)"
3,10,13,27.272727272727,0.94868329805051,Panhala,Panhala,1103093,1103093,3.3066258443044,"LINESTRING (74.19067383192663 16.87814670295767, 74.21264649520238 16.857119364056715)"
