Difference,"Baseline: People Moving","Crisis: People Moving","Percent Change","Standard (Z) Score","Starting Region Name","Ending Region Name","Starting Location","Ending Location",Length(km),Geometry
2.25,10.75,13,19.148936170213,0.45075188022357,Hatkanangle,Hatkanangle,1103094,1103094,2.3412385734193,"LINESTRING (74.41040039719302 16.60460960781876, 74.41040039024301 16.62566483910707)"
-4,14,10,-26.666666666667,-2,Palus,Palus,1103106,1103106,2.3349939381415,"LINESTRING (74.41040040652283 17.109292372888447, 74.41040038132063 17.130291444910632)"
-2.75,16.75,14,-15.492957746479,-1.6102351203651,Hatkanangle,Hatkanangle,1103094,1103094,2.3402093210289,"LINESTRING (74.43237304480623 16.709862642677113, 74.43237305232763 16.6888166676634)"
6.75,10.25,17,60,2.0429547528365,Hatkanangle,Hatkanangle,1103094,1103094,3.3095557825853,"LINESTRING (74.43237304480623 16.709862642677113, 74.45434569638181 16.688816664929178)"
0.5,31.5,32,1.5384615384615,0.16081688022567,Hatkanangle,Hatkanangle,1103094,1103094,2.3400805798476,"LINESTRING (74.43237304480623 16.709862642677113, 74.45434570104558 16.709862642679674)"
2.25,11.75,14,17.647058823529,2.3500483554019,Hatkanangle,Hatkanangle,1103094,1103094,2.3402093210289,"LINESTRING (74.43237305232763 16.6888166676634, 74.43237304480623 16.709862642677113)"
-3.5,13.5,10,-24.137931034483,-0.90369611411506,Shirala,Shirala,1103104,1103104,2.3366994183121,"LINESTRING (74.12475586767317 16.983248238352008, 74.14672849958725 16.983248232772944)"
13,32,45,39.393939393939,1.9030051422496,Hatkanangle,Hatkanangle,1103094,1103094,2.3403371663916,"LINESTRING (74.43237305232763 16.6888166676634, 74.45434569638181 16.688816664929178)"
0.75,12.25,13,5.6603773584906,0.5,Hatkanangle,Hatkanangle,1103094,1103094,3.3095553525804,"LINESTRING (74.43237305232763 16.6888166676634, 74.45434570104558 16.709862642679674)"
-0.75,14.75,14,-4.7619047619048,-0.19867985355976,Palus,Palus,1103106,1103106,2.3353910084258,"LINESTRING (74.43237305385979 17.088290923712343, 74.41040038537625 17.08829092090766)"
3.5,12.5,16,25.925925925926,1.8278153875348,Hatkanangle,Hatkanangle,1103094,1103094,2.3395652484121,"LINESTRING (74.43237305688484 16.75194763472697, 74.41040038844578 16.751947631981288)"
7,13,20,50,1.5397947077242,Hatkanangle,Hatkanangle,1103094,1103094,2.3396935463227,"LINESTRING (74.43237305688484 16.75194763472697, 74.43237304165504 16.73090629817935)"
-1,16,15,-5.8823529411765,-0.28097574347451,Palus,Palus,1103106,1103106,2.3352576408335,"LINESTRING (74.45434569457369 17.10929236726866, 74.45434571010072 17.088290923714908)"
2.75,13.25,16,19.298245614035,1.3339459376998,Hatkanangle,Hatkanangle,1103094,1103094,5.2328672099218,"LINESTRING (74.45434569638181 16.688816664929178, 74.41040038855918 16.709862642679674)"
1.5,13.5,15,10.344827586207,1.5,Hatkanangle,Hatkanangle,1103094,1103094,5.2325790358062,"LINESTRING (74.45434569638181 16.688816664929178, 74.43237304165504 16.73090629817935)"
-19,68,49,-27.536231884058,-4,Hatkanangle,Hatkanangle,1103094,1103094,3.3095557825854,"LINESTRING (74.45434569638181 16.688816664929178, 74.43237304480623 16.709862642677113)"
6.25,100.75,107,6.1425061425061,1.5195766846371,Hatkanangle,Hatkanangle,1103094,1103094,2.3403371663916,"LINESTRING (74.45434569638181 16.688816664929178, 74.43237305232763 16.6888166676634)"
-30,241,211,-12.396694214876,-2.1957751641342,Hatkanangle,Hatkanangle,1103094,1103094,2.3402096253458,"LINESTRING (74.45434569638181 16.688816664929178, 74.45434570104558 16.709862642679674)"
-40.25,126.25,86,-31.630648330059,-4,Hatkanangle,Hatkanangle,1103094,1103094,2.3404669975616,"LINESTRING (74.45434569638181 16.688816664929178, 74.45434570650006 16.66776837257837)"
-4.75,14.75,10,-30.15873015873,-1.59071488073,Hatkanangle,Hatkanangle,1103094,1103094,4.6801613323263,"LINESTRING (74.45434569638181 16.688816664929178, 74.45434571012245 16.730906300918225)"
2.25,19.75,22,10.843373493976,0.62604750927623,Hatkanangle,Hatkanangle,1103094,1103094,5.2325791810948,"LINESTRING (74.45434569638181 16.688816664929178, 74.47631835415905 16.73090629817935)"
-4.75,107.75,103,-4.367816091954,-0.6529762267923,Hatkanangle,Hatkanangle,1103094,1103094,3.309556486594,"LINESTRING (74.45434569638181 16.688816664929178, 74.47631835730543 16.709862642677113)"
-46,64,18,-70.769230769231,-4,Hatkanangle,Hatkanangle,1103094,1103094,3.3099211365742,"LINESTRING (74.45434569638181 16.688816664929178, 74.47631836274958 16.667768372580287)"
-50.75,219.75,169,-22.989807474519,-2.8477849807829,Hatkanangle,Hatkanangle,1103094,1103094,2.3403397652516,"LINESTRING (74.45434569638181 16.688816664929178, 74.47631836483579 16.68881666766596)"
5.5,14.5,20,35.483870967742,1.4200938936094,Hatkanangle,Hatkanangle,1103094,1103094,3.3091913267501,"LINESTRING (74.45434570104558 16.709862642679674, 74.43237304165504 16.73090629817935)"
19,61,80,30.645161290323,2.8863071961884,Hatkanangle,Hatkanangle,1103094,1103094,2.3400805798476,"LINESTRING (74.45434570104558 16.709862642679674, 74.43237304480623 16.709862642677113)"
-0.25,16.25,16,-1.4492753623188,-0.042717882885838,Hatkanangle,Hatkanangle,1103094,1103094,3.3095553525803,"LINESTRING (74.45434570104558 16.709862642679674, 74.43237305232763 16.6888166676634)"
-7.25,102.25,95,-7.0217917675545,-0.96666666666667,Hatkanangle,Hatkanangle,1103094,1103094,2.3402096253458,"LINESTRING (74.45434570104558 16.709862642679674, 74.45434569638181 16.688816664929178)"
3.75,40.25,44,9.0909090909091,0.72280413697864,Hatkanangle,Hatkanangle,1103094,1103094,2.3399517069806,"LINESTRING (74.45434570104558 16.709862642679674, 74.45434571012245 16.730906300918225)"
8,64,72,12.307692307692,0.91766293548225,Hatkanangle,Hatkanangle,1103094,1103094,2.3400805820304,"LINESTRING (74.45434570104558 16.709862642679674, 74.47631835730543 16.709862642677113)"
4.75,30.25,35,15.2,0.9515873026942,Hatkanangle,Hatkanangle,1103094,1103094,3.3095564874839,"LINESTRING (74.45434570104558 16.709862642679674, 74.47631836483579 16.68881666766596)"
2,26,28,7.4074074074074,0.40269363312841,Hatkanangle,Hatkanangle,1103094,1103094,2.3404669975616,"LINESTRING (74.45434570650006 16.66776837257837, 74.45434569638181 16.688816664929178)"
8,20,28,38.095238095238,1.4605934866804,Palus,Palus,1103106,1103106,2.33538970719,"LINESTRING (74.45434571010072 17.088290923714908, 74.43237305385979 17.088290923712343)"
4,18,22,21.052631578947,1.549193338483,Palus,Palus,1103106,1103106,2.3352576408335,"LINESTRING (74.45434571010072 17.088290923714908, 74.45434569457369 17.10929236726866)"
4.5,10.5,15,39.130434782609,1.2813632942659,Palus,Palus,1103106,1103106,2.3353871093375,"LINESTRING (74.45434571010072 17.088290923714908, 74.47631834189929 17.08829091810041)"
3.5,12.5,16,25.925925925926,1.2124355652982,Palus,Palus,1103106,1103106,3.3025544472699,"LINESTRING (74.45434571010072 17.088290923714908, 74.47631837528566 17.109292372891016)"
10,18,28,52.631578947368,3.1622776601684,Hatkanangle,Hatkanangle,1103094,1103094,2.3399517069806,"LINESTRING (74.45434571012245 16.730906300918225, 74.45434570104558 16.709862642679674)"
1.5,21.5,23,6.6666666666667,0.24440645096711,Gadhinglaj,Hukeri,1103102,1103790,2.3455617421752,"LINESTRING (74.47631835310371 16.246319709159394, 74.47631836468595 16.26741381957736)"
0.25,20.75,21,1.1494252873563,0.10580184237879,Hatkanangle,Hatkanangle,1103094,1103094,2.339951402715,"LINESTRING (74.47631835415905 16.73090629817935, 74.47631835730543 16.709862642677113)"
-1,26,25,-3.7037037037037,-0.15430334996209,Hatkanangle,Hatkanangle,1103094,1103094,3.309556486594,"LINESTRING (74.47631835730543 16.709862642677113, 74.45434569638181 16.688816664929178)"
2.75,48.25,51,5.5837563451777,0.72849279638577,Hatkanangle,Hatkanangle,1103094,1103094,2.3400805820304,"LINESTRING (74.47631835730543 16.709862642677113, 74.45434570104558 16.709862642679674)"
0.5,26.5,27,1.8181818181818,0.087931557264082,Hatkanangle,Hatkanangle,1103094,1103094,2.339951402715,"LINESTRING (74.47631835730543 16.709862642677113, 74.47631835415905 16.73090629817935)"
-2.75,36.75,34,-7.2847682119205,-0.34487447143634,Hatkanangle,Hatkanangle,1103094,1103094,2.3402093207438,"LINESTRING (74.47631835730543 16.709862642677113, 74.47631836483579 16.68881666766596)"
-11,47,36,-22.916666666667,-2.3452078799117,Hukeri,Gadhinglaj,1103790,1103102,2.3455617421752,"LINESTRING (74.47631836468595 16.26741381957736, 74.47631835310371 16.246319709159394)"
-3.75,40.75,37,-8.9820359281437,-0.36964804356761,Hukeri,Hukeri,1103790,1103790,2.3454342697488,"LINESTRING (74.47631836468595 16.26741381957736, 74.49829100876295 16.267413816919113)"
-2.5,23.5,21,-10.204081632653,-0.75377836144441,Hukeri,Hukeri,1103790,1103790,3.3171241804145,"LINESTRING (74.47631836468595 16.26741381957736, 74.49829100934923 16.246319709159394)"
-1.75,13.75,12,-11.864406779661,-1.024695076596,Hatkanangle,Hatkanangle,1103094,1103094,4.6806769245134,"LINESTRING (74.47631836483579 16.68881666766596, 74.43237305232763 16.6888166676634)"
14.5,154.5,169,9.3247588424437,0.87017405221741,Hatkanangle,Hatkanangle,1103094,1103094,2.3403397652516,"LINESTRING (74.47631836483579 16.68881666766596, 74.45434569638181 16.688816664929178)"
3.5,54.5,58,6.3063063063063,0.47193990372427,Hatkanangle,Hatkanangle,1103094,1103094,3.3095564874839,"LINESTRING (74.47631836483579 16.68881666766596, 74.45434570104558 16.709862642679674)"
-14,31,17,-43.75,-2.8188554318989,Hatkanangle,Hatkanangle,1103094,1103094,3.3099207469313,"LINESTRING (74.47631836483579 16.68881666766596, 74.45434570650006 16.66776837257837)"
3.25,10.75,14,27.659574468085,1.4657097546055,Hatkanangle,Hatkanangle,1103094,1103094,4.6801607234592,"LINESTRING (74.47631836483579 16.68881666766596, 74.47631835415905 16.73090629817935)"
14,72,86,19.178082191781,2.9848100289785,Hatkanangle,Hatkanangle,1103094,1103094,2.3402093207438,"LINESTRING (74.47631836483579 16.68881666766596, 74.47631835730543 16.709862642677113)"
-36.25,64.25,28,-55.555555555556,-4,Hatkanangle,Hatkanangle,1103094,1103094,2.3404673016652,"LINESTRING (74.47631836483579 16.68881666766596, 74.47631836274958 16.667768372580287)"
2.5,14.5,17,16.129032258065,0.52128603514269,Hukeri,Hukeri,1103790,1103790,2.3454342697488,"LINESTRING (74.49829100876295 16.267413816919113, 74.47631836468595 16.26741381957736)"
1,11,12,8.3333333333333,0.20134681656421,Hukeri,Hukeri,1103790,1103790,2.3455614465908,"LINESTRING (74.49829100934923 16.246319709159394, 74.49829100876295 16.267413816919113)"
4.25,11.75,16,33.333333333333,1.9166973714072,Chikodi,Chikodi,1103786,1103786,2.3418810315315,"LINESTRING (74.52026366433266 16.562492218898633, 74.5422363327938 16.562492221613134)"
-1.5,37.5,36,-3.8961038961039,-0.15959855297968,Shirol,Shirol,1103095,1103095,2.3393052056232,"LINESTRING (74.5422363247837 16.772986639185692, 74.5642089810401 16.77298663918313)"
1.5,24.5,26,5.8823529411765,0.5,Shirol,Shirol,1103095,1103095,3.3080941935958,"LINESTRING (74.5642089810401 16.77298663918313, 74.5422363212483 16.79402331760615)"
7.75,120.25,128,6.3917525773196,0.85110038144539,Shirol,Shirol,1103095,1103095,2.3393052056232,"LINESTRING (74.5642089810401 16.77298663918313, 74.5422363247837 16.772986639185692)"
-18.75,56.75,38,-32.467532467532,-4,Shirol,Shirol,1103095,1103095,2.3391758920802,"LINESTRING (74.5642089810401 16.77298663918313, 74.56420898972583 16.794023320361614)"
5,10,15,45.454545454545,0.99339926779878,Shirol,Shirol,1103095,1103095,3.3084594749186,"LINESTRING (74.5642089810401 16.77298663918313, 74.58618162620581 16.75194762923688)"
-107.25,137.25,30,-77.576853526221,-4,Miraj,Miraj,1103111,1103111,2.3383969870564,"LINESTRING (74.56420898301705 16.857119361292995, 74.56420899501165 16.836089684964687)"
-35.75,125.75,90,-28.205128205128,-4,Miraj,Miraj,1103111,1103111,3.3069924683181,"LINESTRING (74.56420898301705 16.857119361292995, 74.58618162680041 16.836089679443816)"
6.5,19.5,26,31.707317073171,2.1666666666667,Bhudargad,Bhudargad,1103100,1103100,2.3449310711967,"LINESTRING (74.14672851905097 16.30959523460176, 74.12475586279929 16.30959523460176)"
-70,132,62,-52.631578947368,-4,Miraj,Miraj,1103111,1103111,3.3066247832084,"LINESTRING (74.56420898301705 16.857119361292995, 74.58618163219822 16.878146700186498)"
-6.75,20.75,14,-31.034482758621,-2.0429547528365,Miraj,Miraj,1103111,1103111,5.2279431467945,"LINESTRING (74.56420898301705 16.857119361292995, 74.58618164410828 16.89917170225926)"
-70.25,238.25,168,-29.362591431557,-4,Miraj,Miraj,1103111,1103111,2.3382686580571,"LINESTRING (74.56420898301705 16.857119361292995, 74.58618165149595 16.857119364056715)"
-15.25,63.25,48,-23.735408560311,-3.50628761847,Miraj,Miraj,1103111,1103111,4.6765334032583,"LINESTRING (74.56420898301705 16.857119361292995, 74.6081542832731 16.85711935852863)"
-26.25,51.25,25,-50.239234449761,-3.0740852297879,Miraj,Miraj,1103111,1103111,5.2282344509257,"LINESTRING (74.56420898301705 16.857119361292995, 74.6081543007001 16.87814670295767)"
-11.75,45.75,34,-25.133689839572,-3.1881202031053,Miraj,Miraj,1103111,1103111,5.2288163632955,"LINESTRING (74.56420898301705 16.857119361292995, 74.60815430753232 16.83608968496725)"
3.25,10.75,14,27.659574468085,1.4657097546055,Bhudargad,Bhudargad,1103100,1103100,3.3164113861828,"LINESTRING (74.14672851905097 16.30959523460176, 74.12475586725301 16.288505662131513)"
1.25,15.75,17,7.4626865671642,1.3055824196677,Miraj,Miraj,1103111,1103111,7.3946615601207,"LINESTRING (74.56420898301705 16.857119361292995, 74.63012695152499 16.836089682205852)"
-15.75,28.75,13,-52.941176470588,-4,Miraj,Miraj,1103111,1103111,9.6414590646373,"LINESTRING (74.56420898301705 16.857119361292995, 74.65209960778476 16.83608968220265)"
-7,33,26,-20.588235294118,-4,Miraj,Miraj,1103111,1103111,10.458211678311,"LINESTRING (74.56420898301705 16.857119361292995, 74.6520996106209 16.815057667835063)"
-8.25,22.25,14,-35.483870967742,-2.9958762867106,Bhudargad,Bhudargad,1103100,1103100,2.3448047706175,"LINESTRING (74.14672851905097 16.30959523460176, 74.14672852134174 16.330682537421644)"
0.5,13.5,14,3.448275862069,0.24019223070763,Shirol,Shirol,1103095,1103095,2.3391758920802,"LINESTRING (74.56420898972583 16.794023320361614, 74.5642089810401 16.77298663918313)"
-2.5,14.5,12,-16.129032258065,-0.49346377121983,Chikodi,Chikodi,1103786,1103786,2.3436647434798,"LINESTRING (74.56420899349799 16.415008983814793, 74.58618164972961 16.415008983814793)"
-30.5,42.5,12,-70.114942528736,-3.4315180978244,Miraj,Miraj,1103111,1103111,2.3383969870564,"LINESTRING (74.56420899501165 16.836089684964687, 74.56420898301705 16.857119361292995)"
-7.25,35.25,28,-20,-4,Miraj,Miraj,1103111,1103111,3.306992468318,"LINESTRING (74.58618162680041 16.836089679443816, 74.56420898301705 16.857119361292995)"
0.5,17.5,18,2.7027027027027,0.2100420126042,Miraj,Miraj,1103111,1103111,2.3385246448876,"LINESTRING (74.58618162680041 16.836089679443816, 74.56420899501165 16.836089684964687)"
36,61,97,58.064516129032,4,Miraj,Miraj,1103111,1103111,2.3383979082629,"LINESTRING (74.58618162680041 16.836089679443816, 74.58618165149595 16.857119364056715)"
9,12,21,69.230769230769,2.5287816912706,Miraj,Miraj,1103111,1103111,3.3069932058796,"LINESTRING (74.58618162680041 16.836089679443816, 74.6081542832731 16.85711935852863)"
22.5,34.5,57,63.380281690141,2.6214827761596,Miraj,Miraj,1103111,1103111,2.3385298538555,"LINESTRING (74.58618162680041 16.836089679443816, 74.60815430753232 16.83608968496725)"
-6,30,24,-19.354838709677,-0.86602540378444,Miraj,Miraj,1103111,1103111,3.3066247832086,"LINESTRING (74.58618163219822 16.878146700186498, 74.56420898301705 16.857119361292995)"
2.75,11.25,14,22.448979591837,0.85895569038733,Miraj,Miraj,1103111,1103111,4.6765346767062,"LINESTRING (74.58618163219822 16.878146700186498, 74.58618162680041 16.836089679443816)"
5.25,35.75,41,14.285714285714,3.5,Miraj,Miraj,1103111,1103111,2.3378772327379,"LINESTRING (74.58618163219822 16.878146700186498, 74.58618164410828 16.89917170225926)"
3.75,46.25,50,7.9365079365079,0.60112314578842,Miraj,Miraj,1103111,1103111,2.3381367684456,"LINESTRING (74.58618163219822 16.878146700186498, 74.58618165149595 16.857119364056715)"
5.25,11.75,17,41.176470588235,4,Miraj,Miraj,1103111,1103111,3.3066251430635,"LINESTRING (74.58618163219822 16.878146700186498, 74.6081542832731 16.85711935852863)"
2,23,25,8.3333333333333,0.48989794855664,Miraj,Miraj,1103111,1103111,2.3380084827666,"LINESTRING (74.58618163219822 16.878146700186498, 74.6081543007001 16.87814670295767)"
-11,41,30,-26.190476190476,-4,Chikodi,Chikodi,1103786,1103786,3.3142618521878,"LINESTRING (74.5861816397987 16.436084889100794, 74.56420899349799 16.415008983814793)"
-17.75,64.75,47,-26.996197718631,-1.6141923107204,Chikodi,Chikodi,1103786,1103786,2.3435374206838,"LINESTRING (74.5861816397987 16.436084889100794, 74.58618164972961 16.415008983814793)"
