Difference,"Baseline: People Moving","Crisis: People Moving","Percent Change","Standard (Z) Score","Starting Region Name","Ending Region Name","Starting Location","Ending Location",Length(km),Geometry
-42.4,59.4,17,-70.198675496689,-4,Hatkanangle,Hatkanangle,1103094,1103094,3.309921136574,"LINESTRING (74.47631836274958 16.667768372580287, 74.45434569638181 16.688816664929178)"
-33.4,58.4,25,-56.228956228956,-3.6595186610717,Hatkanangle,Hatkanangle,1103094,1103094,2.3404673016652,"LINESTRING (74.47631836274958 16.667768372580287, 74.47631836483579 16.68881666766596)"
4,23,27,16.666666666667,0.94280904158206,Hukeri,Gadhinglaj,1103790,1103102,2.3455617421752,"LINESTRING (74.47631836468595 16.26741381957736, 74.47631835310371 16.246319709159394)"
-2.8,14.8,12,-17.721518987342,-0.63084827268307,Hukeri,Hukeri,1103790,1103790,2.3454342697488,"LINESTRING (74.47631836468595 16.26741381957736, 74.49829100876295 16.267413816919113)"
-30.8,192.8,162,-15.892672858617,-4,Hatkanangle,Hatkanangle,1103094,1103094,2.3403397652516,"LINESTRING (74.47631836483579 16.68881666766596, 74.45434569638181 16.688816664929178)"
-0.4,10.4,10,-3.5087719298246,-0.19289712886817,Karvir,Karvir,1103096,1103096,2.3403384663241,"LINESTRING (74.16870116515005 16.688816664933018, 74.1906738214087 16.688816664926616)"
-1,36,35,-2.7027027027027,-0.17277368511627,Hatkanangle,Hatkanangle,1103094,1103094,3.3095564874839,"LINESTRING (74.47631836483579 16.68881666766596, 74.45434570104558 16.709862642679674)"
-12.8,39.8,27,-31.372549019608,-3.2304285768004,Hatkanangle,Hatkanangle,1103094,1103094,2.3402093207438,"LINESTRING (74.47631836483579 16.68881666766596, 74.47631835730543 16.709862642677113)"
7.4,10.6,18,63.793103448276,1.8616720400785,Palus,Palus,1103106,1103106,3.3025544472701,"LINESTRING (74.47631837528566 17.109292372891016, 74.45434571010072 17.088290923714908)"
4.8,38.2,43,12.244897959184,0.88827985223713,Hukeri,Hukeri,1103790,1103790,2.3454342697488,"LINESTRING (74.49829100876295 16.267413816919113, 74.47631836468595 16.26741381957736)"
0.6,21.4,22,2.6785714285714,0.10900086292691,Hukeri,Hukeri,1103790,1103790,3.3171241804147,"LINESTRING (74.49829100934923 16.246319709159394, 74.47631836468595 16.26741381957736)"
-1.2,13.2,12,-8.4507042253521,-0.30285267907504,Shirol,Hatkanangle,1103095,1103094,2.3398237104392,"LINESTRING (74.49829102262757 16.730906300920786, 74.47631835415905 16.73090629817935)"
