Difference,"Baseline: People Moving","Crisis: People Moving","Percent Change","Standard (Z) Score","Starting Region Name","Ending Region Name","Starting Location","Ending Location",Length(km),Geometry
7.5,20.5,28,34.883720930233,2.9801978033963,Walwa,Walwa,1103105,1103105,2.3370944199263,"LINESTRING (74.41040038429882 16.941214665158228, 74.41040039069352 16.96223262723729)"
4.75,14.25,19,31.147540983607,1.4376348260702,Palus,Palus,1103106,1103106,2.3353910084258,"LINESTRING (74.41040038537625 17.08829092090766, 74.43237305385979 17.088290923712343)"
-2.5,25.5,23,-9.4339622641509,-0.34126181639497,Hatkanangle,Hatkanangle,1103094,1103094,2.3411103943116,"LINESTRING (74.41040039024301 16.62566483910707, 74.38842773398454 16.62566483910707)"
1,16,17,5.8823529411765,0.28867513459481,Hatkanangle,Hatkanangle,1103094,1103094,2.3412385734193,"LINESTRING (74.41040039024301 16.62566483910707, 74.41040039719302 16.60460960781876)"
-2.75,21.75,19,-12.087912087912,-0.43709567783146,Walwa,Walwa,1103105,1103105,2.3370944199263,"LINESTRING (74.41040039069352 16.96223262723729, 74.41040038429882 16.941214665158228)"
-4,15,11,-25,-1.0215078369105,Hatkanangle,Hatkanangle,1103094,1103094,2.3412385734193,"LINESTRING (74.41040039719302 16.60460960781876, 74.41040039024301 16.62566483910707)"
8.5,11.5,20,68,2.562846428911,Bhudargad,Bhudargad,1103100,1103100,2.3449310711967,"LINESTRING (74.12475586279929 16.30959523460176, 74.14672851905097 16.30959523460176)"
4.25,10.75,15,36.170212765957,1.4796600756234,Hatkanangle,Hatkanangle,1103094,1103094,2.3396935463227,"LINESTRING (74.43237304165504 16.73090629817935, 74.43237305688484 16.75194763472697)"
0.75,10.25,11,6.6666666666667,0.27235238970096,Hatkanangle,Hatkanangle,1103094,1103094,3.3091913267501,"LINESTRING (74.43237304165504 16.73090629817935, 74.45434570104558 16.709862642679674)"
3,10,13,27.272727272727,1.1618950038622,Hatkanangle,Hatkanangle,1103094,1103094,2.3402093210289,"LINESTRING (74.43237304480623 16.709862642677113, 74.43237305232763 16.6888166676634)"
-6.5,31.5,25,-20,-1.0783524640382,Hatkanangle,Hatkanangle,1103094,1103094,3.3095557825853,"LINESTRING (74.43237304480623 16.709862642677113, 74.45434569638181 16.688816664929178)"
13,31,44,40.625,2.486549180947,Hatkanangle,Hatkanangle,1103094,1103094,2.3400805798476,"LINESTRING (74.43237304480623 16.709862642677113, 74.45434570104558 16.709862642679674)"
4,53,57,7.4074074074074,0.5192907868895,Hatkanangle,Hatkanangle,1103094,1103094,2.3403371663916,"LINESTRING (74.43237305232763 16.6888166676634, 74.45434569638181 16.688816664929178)"
2.75,12.25,15,20.754716981132,0.68219104024065,Palus,Palus,1103106,1103106,2.3353910084258,"LINESTRING (74.43237305385979 17.088290923712343, 74.41040038537625 17.08829092090766)"
3,16,19,17.647058823529,1.1618950038622,Palus,Palus,1103106,1103106,2.33538970719,"LINESTRING (74.43237305385979 17.088290923712343, 74.45434571010072 17.088290923714908)"
8.5,16.5,25,48.571428571429,4,Palus,Palus,1103106,1103106,2.3352576408335,"LINESTRING (74.45434569457369 17.10929236726866, 74.45434571010072 17.088290923714908)"
2.25,19.75,22,10.843373493976,0.68098491761218,Hatkanangle,Hatkanangle,1103094,1103094,3.3095557825854,"LINESTRING (74.45434569638181 16.688816664929178, 74.43237304480623 16.709862642677113)"
24.5,44.5,69,53.846153846154,2.7222222222222,Hatkanangle,Hatkanangle,1103094,1103094,2.3403371663916,"LINESTRING (74.45434569638181 16.688816664929178, 74.43237305232763 16.6888166676634)"
-13.75,130.75,117,-10.436432637571,-1.4163220572177,Hatkanangle,Hatkanangle,1103094,1103094,2.3402096253458,"LINESTRING (74.45434569638181 16.688816664929178, 74.45434570104558 16.709862642679674)"
18.25,42.75,61,41.714285714286,4,Hatkanangle,Hatkanangle,1103094,1103094,2.3404669975616,"LINESTRING (74.45434569638181 16.688816664929178, 74.45434570650006 16.66776837257837)"
3.75,51.25,55,7.177033492823,0.55542858593773,Hatkanangle,Hatkanangle,1103094,1103094,3.309556486594,"LINESTRING (74.45434569638181 16.688816664929178, 74.47631835730543 16.709862642677113)"
15,164,179,9.0909090909091,0.89113278867901,Hatkanangle,Hatkanangle,1103094,1103094,2.3403397652516,"LINESTRING (74.45434569638181 16.688816664929178, 74.47631836483579 16.68881666766596)"
7.75,32.25,40,23.308270676692,1.6945542022087,Hatkanangle,Hatkanangle,1103094,1103094,2.3400805798476,"LINESTRING (74.45434570104558 16.709862642679674, 74.43237304480623 16.709862642677113)"
-2.25,12.25,10,-16.981132075472,-1.0914103126635,Hatkanangle,Hatkanangle,1103094,1103094,3.3095553525803,"LINESTRING (74.45434570104558 16.709862642679674, 74.43237305232763 16.6888166676634)"
-16.5,167.5,151,-9.7922848664688,-2.516226410488,Hatkanangle,Hatkanangle,1103094,1103094,2.3402096253458,"LINESTRING (74.45434570104558 16.709862642679674, 74.45434569638181 16.688816664929178)"
2.5,21.5,24,11.111111111111,0.56373452100212,Hatkanangle,Hatkanangle,1103094,1103094,2.3399517069806,"LINESTRING (74.45434570104558 16.709862642679674, 74.45434571012245 16.730906300918225)"
4.75,47.25,52,9.8445595854922,0.58066608379664,Hatkanangle,Hatkanangle,1103094,1103094,2.3400805820304,"LINESTRING (74.45434570104558 16.709862642679674, 74.47631835730543 16.709862642677113)"
